function	genus	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:degradation	Chrysophaeum	0.1326	0.0641	-0.0686	-1.0384	-0.4391	0.0131	0.0319	0.0456	0.0931
CAZy:degradation	Govanella	0.0468	0.064	0.0172	0.4442	0.1304	0.4689	0.4246	0.569	0.5537
CAZy:degradation	Bombardia	0.0085	0.064	0.0555	2.7785	0.4109	0.0139	0.0182	0.0471	0.0649
CAZy:degradation	Candidatus Brachybacter	0.1546	0.064	-0.0906	-1.2598	-0.3957	0.0269	0.0022	0.0733	0.0153
CAZy:degradation	Mariniphaga	0.1427	0.0639	-0.0788	-1.1458	-0.5435	0.0023	0.0286	0.0158	0.0867
CAZy:degradation	Stanieria	0.0541	0.0639	0.0098	0.2356	-0.1326	0.448	0.7637	0.5501	0.8353
CAZy:degradation	Oceanispirochaeta	0.1827	0.0639	-0.1188	-1.5009	-0.5043	0.0047	0.0038	0.0235	0.0222
CAZy:degradation	Methyloferula	0.0575	0.0637	0.0063	0.147	0.1261	0.4841	0.7361	0.5817	0.8136
CAZy:degradation	Mangrovihabitans	0.0423	0.0636	0.0214	0.5795	0.1652	0.3528	0.2456	0.4575	0.3786
CAZy:degradation	Ancylomarina	0.0834	0.0636	-0.0198	-0.386	-0.2478	0.163	0.3588	0.2568	0.4911
CAZy:degradation	Lamprobacter	0.1094	0.0635	-0.0459	-0.7758	-0.4478	0.012	0.1657	0.0429	0.2875
CAZy:degradation	Madurella	0.0415	0.0635	0.022	0.6009	0.0543	0.758	0.3672	0.8163	0.4997
CAZy:degradation	Zopfia	0.0327	0.0633	0.0306	0.9324	0.3391	0.0514	0.2273	0.1139	0.3591
CAZy:degradation	Hesseltinella	0.0496	0.0633	0.0136	0.3443	0.087	0.6328	0.43	0.7127	0.5585
CAZy:degradation	Lichtheimia	0.0845	0.0632	-0.0213	-0.414	-0.2304	0.1962	0.3853	0.2946	0.5167
CAZy:degradation	Epichloe	0.0155	0.0631	0.0476	1.9551	0.5022	0.0026	0.046	0.0167	0.119
CAZy:degradation	Roseofilum	0.0586	0.063	0.0044	0.1024	-0.0304	0.8725	0.8685	0.9052	0.9162
CAZy:degradation	Sinosporangium	0.0705	0.0629	-0.0076	-0.1615	-0.0391	0.8338	0.7462	0.8759	0.8208
CAZy:degradation	Acrodontium	0.0278	0.0629	0.0351	1.1487	0.2696	0.0995	0.142	0.1796	0.2576
CAZy:degradation	Arcobacter	0.1271	0.0629	-0.0642	-1.004	-0.3543	0.0479	0.0384	0.1092	0.1056
CAZy:degradation	Frigidibacter	0.0769	0.0629	-0.0141	-0.2876	-0.287	0.1078	0.5585	0.1897	0.6714
CAZy:degradation	Candidatus Puniceispirillum	0.0639	0.0628	-0.001	-0.0227	-0.0957	0.599	0.9695	0.6827	0.9839
CAZy:degradation	Candidatus Moanibacter	0.1239	0.0628	-0.0611	-0.9688	-0.4913	0.006	0.0197	0.0277	0.0679
CAZy:degradation	Petalomonas	0.0082	0.0626	0.0545	2.7951	0.287	0.0375	0.077	0.0919	0.1701
CAZy:degradation	Anncaliia	0.0315	0.0626	0.0311	0.9695	0.1565	0.3349	0.3265	0.4395	0.4598
CAZy:degradation	Luteithermobacter	0.0716	0.0626	-0.009	-0.1901	-0.1022	0.5731	0.6481	0.6605	0.744
CAZy:degradation	Marinospirillum	0.0956	0.0626	-0.033	-0.6038	-0.3652	0.0403	0.2207	0.0967	0.3515
CAZy:degradation	Thermonema	0.1131	0.0625	-0.0506	-0.8449	-0.3565	0.0442	0.1417	0.1031	0.2572
CAZy:degradation	Pararcticibacter	0.0737	0.0624	-0.0113	-0.2375	-0.0783	0.66	0.7105	0.7347	0.7931
CAZy:degradation	Moneuplotes	0.1196	0.0624	-0.0572	-0.9282	-0.2	0.2657	0.0649	0.3682	0.1512
CAZy:degradation	Chitinasiproducens	0.1042	0.0623	-0.0419	-0.732	-0.3304	0.0648	0.0603	0.1337	0.1435
CAZy:degradation	Cylindrospermum	0.0283	0.0623	0.034	1.112	0.3826	0.0295	0.0433	0.0779	0.1144
CAZy:degradation	Aureococcus	0.117	0.0622	-0.0548	-0.9009	-0.3304	0.0652	0.0278	0.1342	0.0851
CAZy:degradation	Kwoniella	0.0353	0.0622	0.0269	0.7989	0.2783	0.1169	0.1747	0.2013	0.2976
CAZy:degradation	Dacryopinax	0.0445	0.062	0.0175	0.4683	0.213	0.2337	0.6114	0.3344	0.7149
CAZy:degradation	Antarcticibacterium	0.0612	0.0619	0.0007	0.0172	-0.0522	0.7765	0.8869	0.8317	0.9294
CAZy:degradation	Paenirhodobacter	0.063	0.0619	-0.0011	-0.0244	-0.0435	0.8156	0.9624	0.8627	0.9793
CAZy:degradation	Arundinibacter	0.1176	0.0619	-0.0557	-0.9149	-0.3391	0.0583	0.0279	0.1248	0.0853
CAZy:degradation	Geofilum	0.107	0.0619	-0.0452	-0.7809	-0.2261	0.2035	0.1418	0.3013	0.2573
CAZy:degradation	Denitrificimonas	0.1387	0.0619	-0.0769	-1.1522	-0.413	0.0203	0.0085	0.0606	0.0384
CAZy:degradation	Pseudolysinimonas	0.0314	0.0619	0.0305	0.9574	0.1739	0.3063	0.1573	0.4098	0.2777
CAZy:degradation	Thiomicrospira	0.182	0.0619	-0.1201	-1.5413	-0.5696	0.0015	0.0	0.012	0.001
CAZy:degradation	Sideroxydans	0.1344	0.0618	-0.0726	-1.1077	-0.5348	0.0028	0.0057	0.0173	0.0287
CAZy:degradation	Achromatium	0.1291	0.0618	-0.0673	-1.0508	-0.3609	0.0423	0.0331	0.0996	0.0949
CAZy:degradation	Thioploca	0.1513	0.0618	-0.0895	-1.2785	-0.5804	0.0012	0.0	0.0107	0.001
CAZy:degradation	Zarea	0.0163	0.0618	0.0455	1.8592	0.1652	0.3152	0.0752	0.4187	0.1673
CAZy:degradation	Lentithecium	0.0166	0.0617	0.0451	1.831	0.2522	0.1364	0.0186	0.2266	0.0658
CAZy:degradation	Aminobacterium	0.0531	0.0617	0.0086	0.2131	0.0587	0.749	0.7265	0.8079	0.8063
CAZy:degradation	Friedmanniella	0.0463	0.0617	0.0153	0.4052	0.2304	0.1915	0.4297	0.2901	0.5584
CAZy:degradation	Tetraparma	0.0901	0.0616	-0.0284	-0.5401	-0.2783	0.1219	0.074	0.2078	0.1656
CAZy:degradation	Irineochytrium	0.1438	0.0616	-0.0822	-1.2091	-0.437	0.0146	0.0052	0.0485	0.0274
CAZy:degradation	Algibacter	0.151	0.0616	-0.0894	-1.2795	-0.5	0.0049	0.0098	0.0241	0.0424
CAZy:degradation	Plebeiibacterium	0.0515	0.0616	0.0101	0.2531	-0.0174	0.9306	0.6516	0.9493	0.7468
CAZy:degradation	Paeniroseomonas	0.1316	0.0616	-0.07	-1.0838	-0.3652	0.0408	0.0111	0.0974	0.0461
CAZy:degradation	Oceanococcus	0.0988	0.0615	-0.0372	-0.6742	-0.3696	0.038	0.1297	0.0928	0.2421
CAZy:degradation	Trizodia	0.0218	0.0615	0.0397	1.457	0.587	0.0008	0.0001	0.0085	0.0014
CAZy:degradation	Candidatus Vondammii	0.0945	0.0615	-0.033	-0.6119	-0.1543	0.3889	0.1712	0.4931	0.2936
CAZy:degradation	Alteribacillus	0.0182	0.0615	0.0433	1.7026	0.4652	0.0067	0.004	0.0294	0.023
CAZy:degradation	Oryzibacter	0.0547	0.0613	0.0067	0.1631	0.013	0.9512	0.6943	0.9647	0.7815
CAZy:degradation	Westerdykella	0.0114	0.0613	0.0499	2.3261	0.5565	0.0011	0.0015	0.01	0.012
CAZy:degradation	Coprobacillus	0.0495	0.0612	0.0117	0.3014	0.0848	0.6415	0.5655	0.7198	0.6768
CAZy:degradation	Pleomorphovibrio	0.0814	0.0611	-0.0204	-0.4096	-0.2652	0.1374	0.4076	0.228	0.538
CAZy:degradation	Thermosynechococcus	0.119	0.061	-0.058	-0.9532	-0.3957	0.0254	0.1417	0.0705	0.2572
CAZy:degradation	Rhodoluna	0.0259	0.0609	0.035	1.2027	0.3543	0.0447	0.0108	0.1035	0.0453
CAZy:degradation	Immersiella	0.019	0.0608	0.0419	1.6295	0.4087	0.0188	0.0057	0.0576	0.0288
CAZy:degradation	Sideroxyarcus	0.085	0.0608	-0.0242	-0.4769	-0.2609	0.144	0.2356	0.2356	0.3677
CAZy:degradation	Pararhodobacter	0.0919	0.0607	-0.0311	-0.589	-0.3478	0.0514	0.1349	0.1139	0.2489
CAZy:degradation	Muriicola	0.0941	0.0607	-0.0334	-0.6234	-0.263	0.1371	0.1416	0.2275	0.2572
CAZy:degradation	Limisalsivibrio	0.0609	0.0606	-0.0003	-0.0071	0.0543	0.7687	0.986	0.825	0.9949
CAZy:degradation	Kosakonia	0.0376	0.0606	0.023	0.6728	0.2522	0.1542	0.1838	0.2467	0.3076
CAZy:degradation	Shimia	0.0981	0.0606	-0.0375	-0.6862	-0.3109	0.0805	0.1736	0.1553	0.2964
CAZy:degradation	Iningainema	0.0972	0.0605	-0.0367	-0.6745	-0.213	0.2311	0.1779	0.3319	0.3013
CAZy:degradation	Haloferax	0.0951	0.0605	-0.0346	-0.6434	-0.313	0.0798	0.1289	0.1542	0.2412
CAZy:degradation	Eoetvoesiella	0.0789	0.0605	-0.0184	-0.3782	-0.2348	0.1899	0.3212	0.2887	0.4553
CAZy:degradation	Alterirhizorhabdus	0.066	0.0605	-0.0055	-0.1244	-0.0217	0.9112	0.8712	0.9351	0.9178
CAZy:degradation	Novibacillus	0.0446	0.0602	0.0156	0.4238	0.113	0.5289	0.3876	0.623	0.5188
CAZy:degradation	Winogradskya	0.0765	0.0602	-0.0163	-0.3407	-0.0087	0.9705	0.494	0.9798	0.6166
CAZy:degradation	Riemerella	0.0602	0.0602	-0.0001	-0.0016	-0.013	0.9511	0.9974	0.9647	1.0
CAZy:degradation	Goodfellowiella	0.0715	0.0601	-0.0113	-0.2457	-0.0957	0.5995	0.5333	0.6828	0.6506
CAZy:degradation	Rossellomorea	0.0281	0.0601	0.0321	1.073	0.1913	0.2712	0.1381	0.3739	0.2528
CAZy:degradation	Backusella	0.0565	0.06	0.0035	0.0852	0.0087	0.9706	0.7338	0.9798	0.8119
CAZy:degradation	Dermatophilus	0.0373	0.0599	0.0226	0.6683	0.3174	0.0684	0.1823	0.1387	0.3057
CAZy:degradation	Camelimonas	0.083	0.0599	-0.0231	-0.4642	-0.1761	0.3248	0.4679	0.4284	0.5925
CAZy:degradation	Oceanobacter	0.0783	0.0599	-0.0184	-0.3814	-0.1043	0.5629	0.4937	0.6523	0.6165
CAZy:degradation	Xylella	0.1025	0.0599	-0.0426	-0.7655	-0.3413	0.0533	0.0582	0.1164	0.1403
CAZy:degradation	Candidatus Methanospirare	0.0308	0.0597	0.0289	0.9325	-0.013	0.9466	0.0734	0.962	0.1647
CAZy:degradation	Knufia	0.0149	0.0596	0.0448	1.9333	0.4	0.0155	0.0088	0.0507	0.0393
CAZy:degradation	Endocarpon	0.0564	0.0595	0.0031	0.0759	0.0565	0.7558	0.8967	0.8144	0.9352
CAZy:degradation	Lodderomyces	0.0783	0.0595	-0.0188	-0.3896	-0.0478	0.7965	0.3692	0.8485	0.5019
CAZy:degradation	Zobellia	0.0913	0.0594	-0.0319	-0.6107	-0.2913	0.1025	0.1797	0.1835	0.3032
CAZy:degradation	Manganibacter	0.1128	0.0594	-0.0534	-0.9148	-0.5	0.0052	0.023	0.025	0.0752
CAZy:degradation	Isoalcanivorax	0.1225	0.0594	-0.0632	-1.0333	-0.2978	0.0891	0.1116	0.1663	0.2181
CAZy:degradation	Lichenicola	0.065	0.0593	-0.0056	-0.1289	0.0609	0.7403	0.8004	0.8016	0.8618
CAZy:degradation	Neoconidiobolus	0.0972	0.0593	-0.0379	-0.7044	-0.2761	0.1185	0.1247	0.2035	0.2362
CAZy:degradation	Desulfonauticus	0.0618	0.0592	-0.0026	-0.0609	-0.2174	0.226	0.8883	0.3265	0.9299
CAZy:degradation	Lichenicoccus	0.0765	0.0592	-0.0173	-0.3634	-0.1696	0.3381	0.5469	0.442	0.6624
CAZy:degradation	Dethiosulfovibrio	0.0658	0.0592	-0.0066	-0.1492	-0.1	0.5821	0.7344	0.6681	0.8123
CAZy:degradation	Glycocaulis	0.139	0.0592	-0.0798	-1.2174	-0.5652	0.0015	0.0084	0.0123	0.0379
CAZy:degradation	Desertihabitans	0.0248	0.0592	0.0343	1.22	0.1261	0.4644	0.1285	0.5648	0.2407
CAZy:degradation	Candidatus Neoehrlichia	0.0465	0.0591	0.0126	0.3395	0.0826	0.6419	0.4479	0.7198	0.5756
CAZy:degradation	Methanobacterium	0.1442	0.059	-0.0852	-1.2743	-0.5935	0.0009	0.0005	0.0089	0.0057
CAZy:degradation	Spirillospora	0.0558	0.059	0.0031	0.0775	-0.1783	0.3173	0.8897	0.4207	0.9307
CAZy:degradation	Oculatella	0.0816	0.059	-0.0226	-0.462	-0.2196	0.2184	0.3394	0.3178	0.472
CAZy:degradation	Rhodocaloribacter	0.0768	0.0589	-0.0178	-0.376	-0.1957	0.2764	0.4764	0.3794	0.6008
CAZy:degradation	Hanseniaspora	0.0517	0.0589	0.0072	0.1849	0.087	0.6312	0.6708	0.7114	0.7625
CAZy:degradation	Tepidicella	0.1662	0.0589	-0.1073	-1.4817	-0.5783	0.0012	0.0022	0.0108	0.0157
CAZy:degradation	Arachnia	0.0902	0.0589	-0.0313	-0.6071	-0.3152	0.0777	0.1214	0.1509	0.2317
CAZy:degradation	Ectothiorhodosinus	0.1529	0.0588	-0.094	-1.3624	-0.487	0.0065	0.0003	0.029	0.0037
CAZy:degradation	Dispira	0.1351	0.0588	-0.0763	-1.1859	-0.5065	0.0047	0.0007	0.0236	0.0069
CAZy:degradation	Granulicoccus	0.031	0.0588	0.0277	0.8995	0.2174	0.1998	0.2881	0.2984	0.4229
CAZy:degradation	Pseudopithomyces	0.04	0.0588	0.0187	0.5425	0.2261	0.1822	0.2095	0.2803	0.3377
CAZy:degradation	Gelria	0.1376	0.0587	-0.0789	-1.2144	-0.4348	0.0152	0.0021	0.05	0.0148
CAZy:degradation	Elizabethkingia	0.086	0.0587	-0.0273	-0.5426	-0.2761	0.1185	0.2838	0.2035	0.4182
CAZy:degradation	Fimicolochytrium	0.0984	0.0587	-0.0398	-0.7365	-0.163	0.3646	0.1328	0.4689	0.2462
CAZy:degradation	Belliella	0.1069	0.0587	-0.0482	-0.8544	-0.4739	0.0077	0.084	0.0324	0.1798
CAZy:degradation	Pectinatus	0.1089	0.0587	-0.0502	-0.8814	-0.3652	0.0398	0.0173	0.0958	0.0628
CAZy:degradation	Mariniflexile	0.0773	0.0586	-0.0187	-0.3932	-0.1109	0.5356	0.5199	0.6278	0.6389
CAZy:degradation	Aegicerativicinus	0.111	0.0586	-0.0524	-0.9099	-0.3957	0.0263	0.0158	0.0721	0.0591
CAZy:degradation	Auxenochlorella	0.1059	0.0586	-0.0473	-0.8436	-0.3304	0.0638	0.0342	0.1322	0.0971
CAZy:degradation	Anthocerotibacter	0.1216	0.0585	-0.0631	-1.0437	-0.4783	0.0073	0.0034	0.0312	0.0209
CAZy:degradation	Thermoclostridium	0.1204	0.0584	-0.062	-1.0307	-0.4913	0.0059	0.004	0.0273	0.0232
CAZy:degradation	Candidatus Symbiobacter	0.1469	0.0584	-0.0885	-1.3155	-0.4783	0.0074	0.002	0.0314	0.0146
CAZy:degradation	Seleniivibrio	0.0549	0.0584	0.0035	0.0875	-0.063	0.7316	0.9921	0.7937	0.9983
CAZy:degradation	Autumnicola	0.0927	0.0584	-0.0344	-0.6588	-0.3	0.0896	0.2263	0.167	0.3578
CAZy:degradation	Victivallis	0.0439	0.0583	0.0144	0.4017	0.0913	0.6064	0.488	0.6889	0.6113
CAZy:degradation	Gelidibacter	0.1348	0.0583	-0.0765	-1.1958	-0.5087	0.0044		0.0228	1.0
CAZy:degradation	Aquidulcibacter	0.068	0.0582	-0.0098	-0.2217	-0.0804	0.6577	0.4821	0.7327	0.6058
CAZy:degradation	Ephemerocybe	0.0782	0.0581	-0.0201	-0.4228	-0.1217	0.4956	0.4809	0.5917	0.6048
CAZy:degradation	Candidatus Nephrothrix	0.1515	0.0581	-0.0934	-1.368	-0.5174	0.0036	0.0028	0.0202	0.0184
CAZy:degradation	Halomicronema	0.1823	0.058	-0.1243	-1.6344	-0.4152	0.0194	0.0053	0.0589	0.0279
CAZy:degradation	Methanocella	0.0953	0.058	-0.0373	-0.7066	-0.4174	0.0193	0.1286	0.0589	0.2408
CAZy:degradation	Evansella	0.0826	0.058	-0.0246	-0.5036	-0.0674	0.7132	0.2213	0.7783	0.3521
CAZy:degradation	Antribacter	0.0606	0.0579	-0.0028	-0.0663	-0.0652	0.7218	0.8683	0.786	0.9161
CAZy:degradation	Hydrogenimonas	0.0801	0.0578	-0.0223	-0.4628	-0.2826	0.1113	0.3079	0.1942	0.4423
CAZy:degradation	Pullulanibacillus	0.0574	0.0576	0.0002	0.0038	0.0109	0.9601	0.983	0.9726	0.9929
CAZy:degradation	Desnuesiella	0.0331	0.0575	0.0245	0.7806	0.3696	0.0337	0.124	0.0854	0.235
CAZy:degradation	Thermoflexibacter	0.1992	0.0575	-0.1416	-1.7737	-0.7043	0.0001	0.0	0.0028	0.0
CAZy:degradation	Limimaricola	0.1328	0.0575	-0.0753	-1.1934	-0.4913	0.0056	0.0111	0.0263	0.0461
CAZy:degradation	Glaciibacter	0.0067	0.0575	0.0508	2.9173	0.563	0.0007	0.0008	0.0082	0.0076
CAZy:degradation	Desulfovermiculus	0.0496	0.0575	0.0079	0.2084	0.0283	0.8808	0.6771	0.9118	0.7682
CAZy:degradation	Amylibacter	0.1312	0.0574	-0.0738	-1.1777	-0.5239	0.0033	0.0193	0.0192	0.0671
CAZy:degradation	Abditibacterium	0.0549	0.0574	0.0025	0.0644	-0.113	0.5215	0.9039	0.6157	0.94
CAZy:degradation	Candidatus Thiodiazotropha	0.066	0.0574	-0.0086	-0.199	-0.0435	0.8151	0.576	0.8627	0.6852
