function	genus	pre_HPM	drought_HPM	delta	log2FC	cliffs_delta	p	mixed_p	q_BH	mixed_q_BH
CAZy:GT	Thecamonas	0.3479	0.1131	-0.2348	-1.6129	-0.6087	0.0007	0.0	0.0077	0.001
CAZy:GT	Zeimonas	0.2054	0.1131	-0.0924	-0.8557	-0.4087	0.0225	0.047	0.0648	0.1209
CAZy:GT	Marinimicrobium	0.1774	0.113	-0.0644	-0.6464	-0.4239	0.0181	0.125	0.0564	0.2364
CAZy:GT	Actinomortierella	0.1479	0.1129	-0.035	-0.3864	-0.0913	0.6138	0.7743	0.6954	0.8429
CAZy:GT	Rhodothermus	0.1073	0.1129	0.0056	0.0722	-0.1087	0.5505	0.9116	0.6396	0.944
CAZy:GT	Rhodoligotrophos	0.1285	0.1128	-0.0157	-0.1866	0.0652	0.724	0.6011	0.786	0.7068
CAZy:GT	Gloeocapsopsis	0.0735	0.1127	0.0392	0.6106	0.1696	0.3445	0.2356	0.4493	0.3677
CAZy:GT	Ahniella	0.0783	0.1126	0.0344	0.5194	0.1261	0.4829	0.263	0.581	0.3972
CAZy:GT	Magnetofaba	0.1094	0.1126	0.0033	0.042	-0.0652	0.7235	0.912	0.786	0.9441
CAZy:GT	Cylindrodendrum	0.0085	0.1123	0.1039	3.5825	0.3848	0.0118	0.0136	0.0424	0.0531
CAZy:GT	Frateuria	0.1675	0.1122	-0.0553	-0.5738	-0.3609	0.0444	0.1415	0.1032	0.2572
CAZy:GT	Pseudazoarcus	0.3829	0.1116	-0.2713	-1.769	-0.4674	0.0091	0.0001	0.0362	0.0018
CAZy:GT	Sutterella	0.2664	0.1116	-0.1548	-1.2475	-0.4826	0.0071	0.0011	0.0307	0.0094
CAZy:GT	Rosellinia	0.0086	0.1115	0.1029	3.5464	0.5522	0.0006	0.0025	0.0072	0.0168
CAZy:GT	Pyricularia	0.0323	0.1114	0.0791	1.7562	0.2348	0.176	0.0756	0.2731	0.1681
CAZy:GT	Armatimonas	0.1307	0.1109	-0.0198	-0.2348	-0.0913	0.6174	0.5165	0.6981	0.6356
CAZy:GT	Salinicola	0.1292	0.1107	-0.0185	-0.2211	-0.2	0.2678	0.5403	0.3698	0.6567
CAZy:GT	Caenispirillum	0.1284	0.1107	-0.0177	-0.2127	-0.2543	0.1577	0.6438	0.251	0.74
CAZy:GT	Methyloterricola	0.1735	0.1106	-0.0628	-0.6439	-0.3587	0.0456	0.2148	0.1051	0.3439
CAZy:GT	Peronospora	0.149	0.1104	-0.0386	-0.4292	-0.2087	0.2471	0.3018	0.348	0.4362
CAZy:GT	Nowakowskiella	0.1402	0.1103	-0.0299	-0.3438	-0.2087	0.2468	0.4043	0.348	0.5355
CAZy:GT	Nodosilinea	0.0958	0.1101	0.0143	0.1988	-0.0652	0.7235	0.6265	0.786	0.7268
CAZy:GT	Galdieria	0.1326	0.1099	-0.0227	-0.2685	-0.2565	0.1538	0.6845	0.2467	0.7737
CAZy:GT	Pilimelia	0.0748	0.1099	0.035	0.5481	0.1913	0.2873	0.2295	0.3908	0.3618
CAZy:GT	Mariprofundus	0.2401	0.1099	-0.1303	-1.121	-0.5435	0.0024	0.0054	0.016	0.028
CAZy:GT	Sulfuricaulis	0.1684	0.1093	-0.0591	-0.6195	-0.3739	0.0371	0.1604	0.0914	0.2813
CAZy:GT	Rhodocytophaga	0.2135	0.1093	-0.1043	-0.9604	-0.4957	0.0056	0.007	0.0261	0.0333
CAZy:GT	Tistlia	0.1398	0.1089	-0.0309	-0.3575	-0.2174	0.228	0.2822	0.328	0.4173
CAZy:GT	Sulfurimicrobium	0.2123	0.1085	-0.1038	-0.962	-0.4565	0.0106	0.0137	0.0398	0.0534
CAZy:GT	Neorhodopirellula	0.1385	0.1085	-0.03	-0.3494	-0.3304	0.0657	0.3573	0.1348	0.4899
CAZy:GT	Sinimarinibacterium	0.1637	0.1084	-0.0553	-0.5904	-0.3348	0.0619	0.1196	0.1301	0.2292
CAZy:GT	Thermodesulfatator	0.0909	0.1083	0.0174	0.2499	-0.0391	0.8358	0.5598	0.8759	0.6724
CAZy:GT	Paramoeba	0.7131	0.1083	-0.6048	-2.7081	-0.7761	0.0	0.0	0.0016	0.0
CAZy:GT	Diversispora	0.2658	0.1083	-0.1575	-1.2877	-0.5413	0.0025	0.002	0.0162	0.0144
CAZy:GT	Cutibacterium	0.0695	0.1082	0.0387	0.6319	0.2522	0.1602	0.2379	0.2539	0.37
CAZy:GT	Chthonobacter	0.1299	0.1082	-0.0217	-0.2611	-0.0783	0.6696	0.5212	0.7411	0.6402
CAZy:GT	Modestobacter	0.0664	0.1081	0.0417	0.6952	0.287	0.11	0.0516	0.1932	0.1292
CAZy:GT	Lacisediminimonas	0.1404	0.108	-0.0324	-0.3752	-0.3	0.0946	0.403	0.1735	0.5341
CAZy:GT	Acrocarpospora	0.0616	0.1079	0.0463	0.7988	0.2913	0.1038	0.016	0.1852	0.0594
CAZy:GT	Methylomagnum	0.1402	0.1078	-0.0323	-0.3753	-0.3174	0.075	0.5347	0.1474	0.6514
CAZy:GT	Butyrivibrio	0.2179	0.1078	-0.1101	-1.0091	-0.3913	0.0291	0.0138	0.0774	0.0535
CAZy:GT	Rhodospirillum	0.1192	0.1076	-0.0116	-0.146	-0.1283	0.4774	0.7412	0.5765	0.8166
CAZy:GT	Lactobacillus	0.0913	0.1073	0.016	0.2311	0.1304	0.4706	0.5934	0.5707	0.7006
CAZy:GT	Crenobacter	0.2929	0.1072	-0.1858	-1.4423	-0.6261	0.0005	0.0001	0.0065	0.0018
CAZy:GT	Pyropia	0.0401	0.1071	0.0671	1.397	0.4935	0.0058	0.0006	0.0267	0.0063
CAZy:GT	Smithella	0.0936	0.1071	0.0135	0.1919	0.1196	0.5096	0.6841	0.6051	0.7737
CAZy:GT	Alkaliphilus	0.1233	0.1068	-0.0164	-0.2047	-0.087	0.6347	0.5917	0.7127	0.6994
CAZy:GT	Allopontixanthobacter	0.0472	0.1067	0.0595	1.1599	0.3652	0.0408	0.0081	0.0974	0.0368
CAZy:GT	Fluviicola	0.409	0.1066	-0.3023	-1.9295	-0.663	0.0002	0.0	0.0045	0.0004
CAZy:GT	Desulfobotulus	0.1718	0.1065	-0.0653	-0.6851	-0.0435	0.8169	0.1917	0.8627	0.3178
CAZy:GT	Propioniciclava	0.0809	0.1064	0.0255	0.3906	0.0565	0.7598	0.3746	0.8175	0.5069
CAZy:GT	Stratiformator	0.1399	0.1062	-0.0338	-0.3951	-0.3087	0.0858	0.3589	0.1616	0.4911
CAZy:GT	Arsenicicoccus	0.0438	0.1061	0.0623	1.2568	0.4043	0.0228	0.0058	0.0648	0.0289
CAZy:GT	Desulfonema	0.1237	0.106	-0.0177	-0.2209	-0.2783	0.1216	0.4453	0.2078	0.5733
CAZy:GT	Methylopila	0.127	0.106	-0.021	-0.2589	-0.1	0.583	0.5771	0.6681	0.6863
CAZy:GT	Eleftheria	0.297	0.1059	-0.1911	-1.4789	-0.6174	0.0006	0.0017	0.0071	0.0128
CAZy:GT	Akkermansia	0.125	0.1059	-0.0192	-0.238	-0.1761	0.3285	0.5662	0.4328	0.6771
CAZy:GT	Quisquiliibacterium	0.2709	0.1058	-0.1652	-1.3487	-0.5283	0.0031	0.0003	0.0185	0.0041
CAZy:GT	Mariniblastus	0.1264	0.1057	-0.0206	-0.2552	-0.287	0.1106	0.5551	0.1936	0.6689
CAZy:GT	Endozoicomonas	0.2588	0.1056	-0.1532	-1.2853	-0.6283	0.0004	0.0006	0.0064	0.006
CAZy:GT	Paraglaciecola	0.1432	0.1051	-0.0381	-0.4429	-0.1826	0.3121	0.2307	0.4153	0.3629
CAZy:GT	Desulfoluna	0.133	0.1051	-0.0279	-0.3373	-0.2587	0.1507	0.3079	0.2431	0.4423
CAZy:GT	Chloropicon	0.1637	0.105	-0.0587	-0.6358	-0.3348	0.0622	0.0451	0.1301	0.1172
CAZy:GT	Scleromatobacter	0.413	0.1048	-0.3082	-1.9684	-0.6087	0.0006	0.0	0.0075	0.0007
CAZy:GT	Spongomonas	0.1153	0.1048	-0.0105	-0.1365	-0.1804	0.3097	0.8134	0.4135	0.8721
CAZy:GT	Annulohypoxylon	0.0162	0.1048	0.0886	2.6226	0.413	0.0124	0.0219	0.044	0.0729
CAZy:GT	Catenuloplanes	0.0761	0.1047	0.0286	0.4557	0.2696	0.1318	0.2056	0.2208	0.3332
CAZy:GT	Vitrella	0.2264	0.1045	-0.1219	-1.1081	-0.5435	0.0024	0.0002	0.016	0.0033
CAZy:GT	Thermosyntropha	0.0833	0.1043	0.0209	0.3199	0.163	0.3661	0.278	0.4701	0.4125
CAZy:GT	Vulcaniibacterium	0.1375	0.1042	-0.0333	-0.3966	-0.1	0.5836	0.2827	0.6681	0.4175
CAZy:GT	Litchfieldia	0.1179	0.104	-0.0138	-0.1786	0.0217	0.9124	0.6744	0.9351	0.7659
CAZy:GT	Arvimicrobium	0.1377	0.1039	-0.0339	-0.4037	-0.213	0.2366	0.3253	0.3377	0.4589
CAZy:GT	Candidimonas	0.4725	0.1038	-0.3688	-2.1762	-0.7565	0.0	0.0	0.0019	0.0
CAZy:GT	Tulasnella	0.1847	0.1038	-0.081	-0.8263	-0.3478	0.0524	0.1972	0.1156	0.3236
CAZy:GT	Rugosibacter	0.3244	0.1037	-0.2206	-1.6354	-0.6348	0.0004	0.0001	0.0061	0.0015
CAZy:GT	Dissulfurirhabdus	0.1154	0.1034	-0.012	-0.1571	-0.0957	0.5983	0.7679	0.6825	0.8381
CAZy:GT	Beijerinckia	0.1027	0.1034	0.0007	0.0092	-0.0609	0.7423	0.9665	0.8016	0.9814
CAZy:GT	Oleisolibacter	0.1468	0.1033	-0.0435	-0.5032	-0.1	0.5833	0.3747	0.6681	0.5069
CAZy:GT	Pelistega	0.1199	0.1029	-0.017	-0.2188	-0.113	0.5321	0.499	0.6258	0.621
CAZy:GT	Crateriforma	0.1459	0.1028	-0.0431	-0.5008	-0.2652	0.1399	0.1562	0.2314	0.2761
CAZy:GT	Polysphondylium	0.2366	0.1028	-0.1338	-1.195	-0.513	0.0042	0.0027	0.0221	0.0176
CAZy:GT	Lamprocystis	0.1132	0.1027	-0.0104	-0.1381	-0.0826	0.6517	0.7699	0.7269	0.8395
CAZy:GT	Corynespora	0.0135	0.1027	0.0893	2.8412	0.3239	0.0412	0.006	0.0983	0.03
CAZy:GT	Bryopsis	0.145	0.1027	-0.0423	-0.4939	-0.387	0.0311	0.1682	0.081	0.2903
CAZy:GT	Prauserella	0.0579	0.1025	0.0446	0.8139	0.3304	0.0638	0.0513	0.1322	0.1287
CAZy:GT	Guptibacillus	0.0576	0.1023	0.0448	0.8191	0.1652	0.3572	0.0882	0.4618	0.1862
CAZy:GT	Brucella	0.1453	0.1022	-0.0431	-0.5038	-0.3065	0.0882	0.2054	0.1648	0.3331
CAZy:GT	Longitalea	0.1432	0.102	-0.0412	-0.4857	-0.1478	0.4146	0.2907	0.5168	0.4255
CAZy:GT	Desulfurobacterium	0.1028	0.102	-0.0009	-0.0123	0.0348	0.8544	0.9571	0.8901	0.976
CAZy:GT	Spirulina	0.1804	0.1019	-0.0785	-0.8181	-0.4478	0.0125	0.0386	0.044	0.1062
CAZy:GT	Roseofilum	0.36	0.1018	-0.2581	-1.8119	-0.2522	0.1602	0.0298	0.2539	0.0886
CAZy:GT	Acanthopleuribacter	0.0808	0.1016	0.0208	0.3276	0.0	1.0	0.5467	1.0	0.6624
CAZy:GT	Roseospira	0.1415	0.1016	-0.0399	-0.474	-0.1391	0.4427	0.1888	0.5452	0.3138
CAZy:GT	Magnetococcus	0.0902	0.1016	0.0114	0.1694	-0.1457	0.4202	0.7471	0.5233	0.8213
CAZy:GT	Martelella	0.046	0.1016	0.0555	1.1247	0.2522	0.1557	0.0516	0.2484	0.1292
CAZy:GT	Rathayibacter	0.0845	0.1015	0.017	0.2622	0.0087	0.9709	0.4951	0.9798	0.6175
CAZy:GT	Metallibacterium	0.1525	0.1014	-0.0511	-0.5835	-0.237	0.1838	0.195	0.2817	0.3212
CAZy:GT	Dendryphion	0.0278	0.1013	0.0735	1.8297	0.2196	0.1993	0.0433	0.2978	0.1144
CAZy:GT	Thermasporomyces	0.0162	0.101	0.0848	2.5702	0.7543	0.0	0.0	0.0018	0.0
CAZy:GT	Runella	0.1513	0.1009	-0.0504	-0.5794	-0.1783	0.321	0.2392	0.4253	0.3716
CAZy:GT	Agrilutibacter	0.1709	0.1009	-0.0701	-0.7549	-0.5348	0.0028	0.0884	0.0175	0.1865
CAZy:GT	Pythium	0.107	0.1008	-0.0061	-0.0843	-0.087	0.6342	0.8254	0.7127	0.8816
CAZy:GT	Paraflavisolibacter	0.1876	0.1008	-0.0868	-0.8892	-0.437	0.0148	0.0282	0.0489	0.0857
CAZy:GT	Pseudomaricurvus	0.1402	0.1007	-0.0395	-0.474	-0.3174	0.0771	0.2024	0.1505	0.3295
CAZy:GT	Thioalbus	0.12	0.1006	-0.0194	-0.2514	-0.0826	0.6503	0.6683	0.7269	0.7608
CAZy:GT	Planotetraspora	0.0441	0.1006	0.0565	1.1725	0.4391	0.0136	0.0219	0.0463	0.0729
CAZy:GT	Thermotomaculum	0.1767	0.1002	-0.0765	-0.8124	-0.3957	0.0272	0.0248	0.0739	0.0793
CAZy:GT	Soehngenia	0.0413	0.1	0.0587	1.255	0.1891	0.2867	0.0715	0.3901	0.1616
CAZy:GT	Planktothrix	0.1085	0.0999	-0.0085	-0.117	-0.0522	0.7781	0.7619	0.8328	0.8337
CAZy:GT	Thecamoeba	0.3893	0.0999	-0.2895	-1.9524	-0.7261	0.0	0.0	0.0025	0.0001
CAZy:GT	Hondaea	0.2302	0.0997	-0.1304	-1.1984	-0.5783	0.0012	0.0002	0.0109	0.0024
CAZy:GT	Oceanobacillus	0.1176	0.0996	-0.018	-0.2379	-0.0913	0.6174	0.4495	0.6981	0.5766
CAZy:GT	Sandarakinorhabdus	0.116	0.0995	-0.0165	-0.2192	-0.1435	0.4281	0.5574	0.5307	0.6708
CAZy:GT	Sinomonas	0.0639	0.0994	0.0355	0.629	0.2826	0.1146	0.108	0.1991	0.2141
CAZy:GT	Microdochium	0.0202	0.0993	0.0791	2.2445	0.4739	0.0049	0.0141	0.0241	0.0545
CAZy:GT	Gluconacetobacter	0.0992	0.0991	-0.0	-0.0006	-0.1913	0.2885	0.9991	0.392	1.0
CAZy:GT	Brasilonema	0.1013	0.0991	-0.0022	-0.0314	-0.1783	0.3225	0.9404	0.4266	0.9645
CAZy:GT	Martinezella	0.1005	0.0989	-0.0016	-0.0233	-0.1783	0.323	0.9621	0.427	0.9793
CAZy:GT	Algiphilus	0.154	0.0985	-0.0556	-0.6402	-0.3261	0.0679	0.1497	0.1381	0.2679
CAZy:GT	Cerasicoccus	0.1308	0.0984	-0.0323	-0.4061	-0.2565	0.1534	0.3208	0.2467	0.4551
CAZy:GT	Pelobacter	0.195	0.0983	-0.0968	-0.9818	-0.4783	0.0075	0.0382	0.0319	0.1053
CAZy:GT	Roseococcus	0.1879	0.098	-0.0899	-0.9319	-0.4304	0.0163	0.0232	0.0527	0.0757
CAZy:GT	Zavarzinia	0.1364	0.098	-0.0384	-0.4732	-0.2435	0.1752	0.2397	0.2721	0.3719
CAZy:GT	Streptomonospora	0.033	0.0979	0.0649	1.5409	0.3652	0.0378	0.0257	0.0923	0.081
CAZy:GT	Silanimonas	0.2464	0.0979	-0.1484	-1.3221	-0.6609	0.0002	0.0002	0.0046	0.003
CAZy:GT	Thiohalorhabdus	0.0941	0.0978	0.0036	0.0541	0.0696	0.7035	0.9124	0.7701	0.9443
CAZy:GT	Candidatus Pelagibacter	0.1175	0.0978	-0.0197	-0.2621	-0.2348	0.1913	0.6251	0.2901	0.7257
CAZy:GT	Albidovulum	0.1377	0.0977	-0.04	-0.4911	-0.2478	0.1683	0.2585	0.2634	0.3926
CAZy:GT	Phytophthora	0.1212	0.0977	-0.0235	-0.3082	-0.1826	0.3107	0.398	0.4145	0.5297
CAZy:GT	Robbsia	0.1976	0.0977	-0.1	-1.0096	-0.6261	0.0005	0.0001	0.0065	0.0013
CAZy:GT	Ectopseudomonas	0.238	0.0976	-0.1404	-1.2773	-0.3087	0.0854	0.137	0.1613	0.2515
CAZy:GT	Nibricoccus	0.498	0.0975	-0.4005	-2.3413	-0.5348	0.0028	0.0026	0.0174	0.0176
CAZy:GT	Rubellimicrobium	0.1075	0.0971	-0.0104	-0.1452	-0.1674	0.3542	0.7337	0.4592	0.8119
CAZy:GT	Roseivirga	0.2627	0.0971	-0.1656	-1.427	-0.6304	0.0004	0.0	0.0063	0.0011
CAZy:GT	Geosiphon	0.1649	0.097	-0.0679	-0.7592	-0.2087	0.2445	0.0446	0.3457	0.1167
CAZy:GT	Vreelandella	0.0821	0.097	0.0149	0.2376	0.0435	0.8162	0.486	0.8627	0.6092
CAZy:GT	Kangiella	0.1262	0.0968	-0.0294	-0.3793	-0.1826	0.3112	0.3411	0.4149	0.4737
CAZy:GT	Verticiella	0.1981	0.0967	-0.1013	-1.0264	-0.4804	0.0072	0.0034	0.0309	0.0209
CAZy:GT	Desulfoglaeba	0.0939	0.0966	0.0027	0.0408	0.0304	0.874	0.9279	0.9052	0.9547
CAZy:GT	Fictibacillus	0.1021	0.0965	-0.0056	-0.0809	-0.0739	0.6854		0.7556	1.0
CAZy:GT	Fusobacterium	0.1232	0.0965	-0.0268	-0.3499	-0.1696	0.3475	0.3149	0.4525	0.4496
CAZy:GT	Elstera	0.1115	0.0963	-0.0152	-0.2088	-0.0913	0.6161	0.5281	0.6974	0.6459
CAZy:GT	Phocaeicola	0.1187	0.0962	-0.0225	-0.301	-0.0435	0.817	0.5581	0.8627	0.6711
CAZy:GT	Thermomicrobium	0.0844	0.096	0.0117	0.1848	0.0261	0.893	0.6628	0.9192	0.7558
CAZy:GT	Talaromyces	0.0156	0.0959	0.0802	2.5422	0.3043	0.066	0.0174	0.1348	0.063
CAZy:GT	Stylonychia	0.0676	0.0958	0.0281	0.4954	0.0261	0.893	0.3078	0.9192	0.4423
CAZy:GT	Methylocella	0.1121	0.0957	-0.0164	-0.2254	-0.2239	0.2141	0.603	0.3134	0.7083
CAZy:GT	Pseudofrankia	0.0817	0.0956	0.0139	0.2238	0.0261	0.893	0.5748	0.9192	0.6842
CAZy:GT	Williopsis	0.0148	0.0952	0.0804	2.6065	-0.0217	0.8953	0.387	0.9209	0.5181
CAZy:GT	Kamptonema	0.1145	0.0951	-0.0193	-0.2644	-0.213	0.2347	0.5033	0.3355	0.6246
CAZy:GT	Limnobacter	0.2622	0.0949	-0.1673	-1.4565	-0.6435	0.0003	0.0	0.0054	0.0006
CAZy:GT	Abditibacterium	0.0855	0.0949	0.0094	0.1489	0.0848	0.6432	0.5108	0.7208	0.6303
CAZy:GT	Ruficoccus	0.0804	0.0948	0.0144	0.2356	0.0348	0.8535	0.6167	0.8901	0.7184
CAZy:GT	Methanosarcina	0.1128	0.0946	-0.0182	-0.251	-0.2848	0.1123	0.6283	0.196	0.7278
CAZy:GT	Brenneria	0.0858	0.0945	0.0087	0.1383	0.1413	0.4309	0.8102	0.5328	0.8698
CAZy:GT	Nitrincola	0.0918	0.0942	0.0024	0.0373	-0.0826	0.6517	0.9009	0.7269	0.9376
CAZy:GT	Marinicauda	0.073	0.0941	0.0211	0.3618	-0.0065	0.9805	0.4602	0.9876	0.5856
CAZy:GT	Desulfocapsa	0.0418	0.0939	0.0522	1.1501	0.2304	0.1962	0.023	0.2946	0.0752
CAZy:GT	Motilibacter	0.06	0.0939	0.0339	0.6386	0.0783	0.6681	0.1262	0.7411	0.2375
CAZy:GT	Methylomarinovum	0.1328	0.0939	-0.039	-0.4965	-0.2696	0.13	0.2351	0.218	0.3673
CAZy:GT	Spongiibacter	0.1511	0.0939	-0.0573	-0.6814	-0.4087	0.0224	0.1177	0.0644	0.2264
CAZy:GT	Rubrivirga	0.1372	0.0938	-0.0434	-0.5439	-0.2783	0.119	0.0958	0.2041	0.1966
CAZy:GT	Rhodovastum	0.0697	0.0936	0.0239	0.4204	0.1348	0.4549	0.2531	0.557	0.3872
CAZy:GT	Oricola	0.1671	0.0936	-0.0734	-0.8285	-0.35	0.0513	0.0309	0.1139	0.0908
CAZy:GT	Thermodesulforhabdus	0.0884	0.0936	0.0052	0.0811	-0.1696	0.3455	0.7423	0.4505	0.8175
CAZy:GT	Methanosphaera	0.0332	0.0933	0.0601	1.462	0.5522	0.0019	0.001	0.014	0.0089
CAZy:GT	Lecanicillium	0.0212	0.0933	0.0721	2.0883	0.3196	0.0609	0.0445	0.1284	0.1165
CAZy:GT	Badhamia	0.17	0.0933	-0.0767	-0.8587	-0.337	0.0605	0.0054	0.1277	0.028
CAZy:GT	Cryptodifflugia	0.2996	0.0932	-0.2064	-1.6739	-0.5804	0.0012	0.0005	0.0107	0.0055
CAZy:GT	Oceanicaulis	0.0656	0.0931	0.0275	0.499	0.2261	0.207	0.24	0.3053	0.3723
CAZy:GT	Aquipseudomonas	0.2356	0.093	-0.1426	-1.3317	-0.4652	0.0092	0.0297	0.0364	0.0885
CAZy:GT	Gloeocapsa	0.0885	0.0929	0.0044	0.0693	0.0891	0.6258	0.8932	0.7066	0.9325
CAZy:GT	Allokutzneria	0.0227	0.0929	0.0702	1.9881	0.5543	0.0017	0.0009	0.0129	0.008
CAZy:GT	Allobrachymonas	0.1934	0.0928	-0.1006	-1.0511	-0.4304	0.0158	0.0083	0.0515	0.0376
CAZy:GT	Hirsutella	0.0274	0.0927	0.0653	1.7222	0.2109	0.1985	0.0607	0.297	0.1443
CAZy:GT	Thermosulfuriphilus	0.093	0.0927	-0.0002	-0.0038	-0.113	0.5338	0.9927	0.6271	0.9987
CAZy:GT	Pseudohongiella	0.1705	0.0927	-0.0778	-0.8724	-0.4652	0.0094	0.0359	0.0369	0.1006
CAZy:GT	Marininema	0.0646	0.0924	0.0278	0.5094	0.0478	0.796	0.3322	0.8485	0.4651
CAZy:GT	Pluteus	0.1259	0.0924	-0.0335	-0.4424	0.0391	0.8257	0.9697	0.8708	0.9839
CAZy:GT	Desulfonatronum	0.1017	0.0924	-0.0093	-0.1372	-0.0913	0.6147	0.7873	0.6961	0.8524
CAZy:GT	Thalassobaculum	0.1375	0.0923	-0.0452	-0.5698	-0.287	0.1091	0.3369	0.1918	0.4695
CAZy:GT	Pontiella	0.0819	0.0922	0.0103	0.169	0.0217	0.9124	0.6981	0.9351	0.7836
CAZy:GT	Chlorella	0.1663	0.0921	-0.0742	-0.8455	-0.4	0.0257	0.0142	0.071	0.0547
CAZy:GT	Pseudogulbenkiania	0.1564	0.0919	-0.0645	-0.7602	-0.3022	0.0925	0.0327	0.1705	0.0943
CAZy:GT	Allocatelliglobosispora	0.0393	0.0919	0.0526	1.2039	0.4478	0.0118	0.007	0.0425	0.0334
CAZy:GT	Mesoterricola	0.1484	0.0919	-0.0565	-0.685	-0.3783	0.0337	0.1669	0.0854	0.2887
CAZy:GT	Robertmurraya	0.0461	0.0919	0.0457	0.9787	0.1174	0.4997	0.2537	0.5955	0.3874
CAZy:GT	Mucisphaera	0.1434	0.0918	-0.0517	-0.6385	-0.4283	0.0163	0.1324	0.0527	0.2455
CAZy:GT	Paraphysoderma	0.1268	0.0918	-0.035	-0.4619	-0.2609	0.1472	0.1946	0.2394	0.321
CAZy:GT	Microtetraspora	0.0472	0.0917	0.0445	0.9437	0.2391	0.1808	0.0661	0.2786	0.1531
CAZy:GT	Pseudobacteriovorax	0.8871	0.0917	-0.7954	-3.2603	-0.4848	0.0068	0.0618	0.0299	0.1461
CAZy:GT	Siculibacillus	0.1009	0.0917	-0.0092	-0.1366	0.0348	0.8531	0.9055	0.8901	0.9408
CAZy:GT	Trypanosoma	0.1725	0.0912	-0.0813	-0.9118	-0.5174	0.0039	0.0109	0.0211	0.0455
CAZy:GT	Thiohalomonas	0.1019	0.0908	-0.0112	-0.1655	-0.213	0.2325	0.6669	0.3332	0.7597
CAZy:GT	Tropicimonas	0.1534	0.0904	-0.063	-0.7562	-0.3674	0.0402	0.1071	0.0965	0.2127
CAZy:GT	Pseudomarimonas	0.0863	0.0901	0.0038	0.0614	-0.0652	0.7224	0.8922	0.786	0.9323
CAZy:GT	Herminiimonas	0.1644	0.0899	-0.0744	-0.8625	-0.487	0.0066	0.0127	0.0293	0.0507
CAZy:GT	Phaeoacremonium	0.0192	0.0898	0.0707	2.1713	0.4217	0.0088	0.0517	0.0355	0.1294
CAZy:GT	Sterolibacterium	0.151	0.0897	-0.0613	-0.7449	-0.313	0.0784	0.1301	0.1521	0.2426
CAZy:GT	Xylanimonas	0.0683	0.0896	0.0213	0.3863	-0.0174	0.9319	0.5819	0.9493	0.6905
CAZy:GT	Geomesophilobacter	0.1461	0.0895	-0.0566	-0.7011	-0.3478	0.0524	0.1373	0.1156	0.2517
CAZy:GT	Candidatus Aquicultor	0.0385	0.0894	0.051	1.1957	0.2152	0.2247	0.1941	0.3251	0.3209
CAZy:GT	Diaphorobacter	0.1992	0.0892	-0.11	-1.1504	-0.4565	0.0108	0.0057	0.0404	0.0286
CAZy:GT	Metopus	0.441	0.089	-0.3521	-2.2968	-0.713	0.0001	0.0	0.0027	0.0003
CAZy:GT	Thermosulfurimonas	0.1281	0.0888	-0.0393	-0.5235	-0.3217	0.0729	0.2106	0.1443	0.3385
CAZy:GT	Teredinibacter	0.117	0.0883	-0.0287	-0.4019	-0.2043	0.2536	0.4131	0.3552	0.5432
CAZy:GT	Vitreoscilla	0.1782	0.0883	-0.0899	-1.0046	-0.2565	0.1486	0.0191	0.2408	0.0666
CAZy:GT	Biscogniauxia	0.0127	0.0882	0.0756	2.704	0.3283	0.0386	0.0112	0.0938	0.0464
CAZy:GT	Ostreococcus	0.1279	0.0882	-0.0397	-0.5315	-0.287	0.11	0.0604	0.1932	0.1436
CAZy:GT	Desulfobacca	0.1602	0.088	-0.0722	-0.8569	-0.4391	0.0143	0.0388	0.048	0.1065
CAZy:GT	Lewinella	0.0851	0.0879	0.0029	0.0472	0.0304	0.8737	0.9106	0.9052	0.9434
CAZy:GT	Branchiibius	0.0642	0.0879	0.0237	0.4482	0.1848	0.3049	0.2825	0.4085	0.4173
CAZy:GT	Tissierella	0.1145	0.0875	-0.027	-0.3837	-0.2022	0.2612	0.4001	0.3632	0.5316
CAZy:GT	Salinispora	0.0882	0.0875	-0.0007	-0.0117	-0.0652	0.7232	0.7027	0.786	0.7874
CAZy:GT	Hyaloraphidium	0.0935	0.0874	-0.0062	-0.0976	-0.1065	0.5577	0.905	0.647	0.9405
CAZy:GT	Parafilimonas	0.1912	0.0872	-0.104	-1.1239	-0.4674	0.0084	0.0553	0.0346	0.1356
CAZy:GT	Echria	0.0155	0.0871	0.0716	2.4179	0.4	0.0178	0.0179	0.0556	0.0642
CAZy:GT	Wolbachia	0.045	0.0871	0.0421	0.9372	0.3435	0.0544	0.0222	0.1185	0.0735
CAZy:GT	Pycnococcus	0.1051	0.087	-0.0181	-0.2694	-0.1783	0.323	0.4184	0.427	0.548
CAZy:GT	Thermoflavifilum	0.0941	0.0868	-0.0073	-0.1156	-0.063	0.7324	0.6732	0.7944	0.7647
CAZy:GT	Baffinella	0.0835	0.0868	0.0033	0.0554	-0.0478	0.7965	0.9137	0.8485	0.9448
CAZy:GT	Paramesorhizobium	0.0857	0.0867	0.0011	0.0176	-0.0043	0.9903	0.9527	0.9944	0.9729
CAZy:GT	Desulfonatronospira	0.1228	0.0867	-0.036	-0.4967	-0.2696	0.134	0.1401	0.2232	0.2556
CAZy:GT	Haematococcus	0.0973	0.0866	-0.0106	-0.1654	-0.1565	0.3852	0.7154	0.4897	0.7976
