genus	pre	drought	log2FC	p	named	q_BH	cliffs_delta	cliffs_mag
DATCJA01	1.4026294117647058	1.2874473684210528	-0.1235284775346238	0.6108660787924209	False	0.7412258240205981	-0.1021671826625387	negligible
DATJKD01	0.3975588235294117	0.4434578947368421	0.1572540851586195	0.612715108493704	False	0.7412258240205981	0.09907120743034056	negligible
Reyranella	0.9178235294117648	0.7812736842105262	-0.2321143686712672	0.6281659255849985	True	0.7412258240205981	-0.09597523219814241	negligible
TA-21	12.228029411764709	11.788084210526314	-0.0528582527443953	0.634563842793149	False	0.7412258240205981	-0.09597523219814241	negligible
DATBJG01	0.1156882352941176	0.0789315789473684	-0.5458216201679313	0.6353364205890841	False	0.7412258240205981	-0.058823529411764705	negligible
Cupriavidus	0.2083882352941176	0.1886473684210526	-0.1428610324641049	0.676926648802535	True	0.7768010723963517	-0.06501547987616099	negligible
JAJVID01	0.8924117647058823	0.8695315789473684	-0.0374286193191172	0.7379778856554096	False	0.8332008386432044	-0.06811145510835913	negligible
JAABQT01	0.3666705882352941	0.3528	-0.0554797249114793	0.8043546072152102	False	0.8937273413502336	-0.04643962848297214	negligible
Rhizobium	0.0656764705882352	0.0416842105263157	-0.6434752437167587	0.874396577586572	True	0.9464935229966194	0.021671826625386997	negligible
JAKEFM01	0.3407647058823529	0.3226	-0.0787918094989366	0.8788868427825751	False	0.9464935229966194	-0.02476780185758514	negligible
DATACQ01	0.461835294117647	0.4630894736842104	0.0039040919136219	0.89670279818203	False	0.9510484223142743	-0.02786377708978328	negligible
DATKFM01	1.504329411764706	1.506057894736842	0.0016556131945248	0.9239915201859936	False	0.9511677413679346	-0.021671826625386997	negligible
Gp6-AA40	7.427141176470589	7.3152368421052625	-0.021899455914593	0.9239915201859936	True	0.9511677413679346	-0.021671826625386997	negligible
Ensifer	0.2055235294117647	0.1291368421052631	-0.6662767076584651	0.9667649075693814	True	0.980775993186329	-0.009287925696594427	negligible
JAJKIV01	0.0458411764705882	0.0561578947368421	0.2871754682165117	1.0	False	1.0	-0.0030959752321981426	negligible
