FeatureID	Covariate	Log2(FC)	SE	W	pvalue	qvalue	Signif
Bacillus_A	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
Bacillus_A	condition[T.pre-drought]	0.08196992441629875	0.20855817703883797	0.3930314580810428	0.6942962469879197	1.0	False
Bradyrhizobium	Intercept	0.999830683016901	0.36841776792349007	2.7138503353197057	0.006650620519843828	0.39238661067078584	False
Bradyrhizobium	condition[T.pre-drought]	1.342759368049277	0.5491325424890582	2.445237286362486	0.014475686776729793	1.0	False
Brocadia	Intercept	1.1644825389282731	0.2602824208800665	4.473919271962074	7.679874675886408e-06	0.0004915119792567301	True
Brocadia	condition[T.pre-drought]	0.25889553604318405	0.42699535054831345	0.6063193327766474	0.5443027232474589	1.0	False
CAVVWJ01	Intercept	0.8033746609073749	0.42182807616928236	1.904507324886965	0.05684414361133095	1.0	False
CAVVWJ01	condition[T.pre-drought]	0.4044058988323053	0.6614859563222474	0.6113597650367898	0.5409614330223954	1.0	False
CAYXGZ01	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
CAYXGZ01	condition[T.pre-drought]	0.6083663729884815	0.34111362659027666	1.78347132909824	0.07450961108588262	1.0	False
CAZWGW01	Intercept	0.19146578677809067	0.25612085410200897	0.7475603165911388	0.45472540839838294	1.0	False
CAZWGW01	condition[T.pre-drought]	-0.4032419947628784	0.2896919399944212	-1.3919682914569316	0.16393200008430042	1.0	False
Comamonas	Intercept	-0.16892040054338153	0.1322754325829125	-1.2770353288204093	0.20158977483066598	1.0	False
Comamonas	condition[T.pre-drought]	0.13563468091473546	0.23631154136964752	0.5739655377329647	0.565991122071215	1.0	False
Cupriavidus	Intercept	0.6429038653593047	0.35313593666026316	1.8205563314781377	0.068674325973061	1.0	False
Cupriavidus	condition[T.pre-drought]	0.251340746127455	0.5149027372151261	0.4881324723322357	0.625456011681556	1.0	False
DASRDR01	Intercept	2.6603846205361545	0.3874469189694309	6.866449287072678	6.581955891059135e-12	4.804827800473169e-10	True
DASRDR01	condition[T.pre-drought]	0.4738786277048003	0.6199833744513433	0.7643408633726042	0.44466413981995834	1.0	False
DASRRB01	Intercept	0.27774434500297573	0.30855683113770305	0.9001399968326215	0.3680457532027104	1.0	False
DASRRB01	condition[T.pre-drought]	0.48423726229813396	0.5416112165041291	0.8940680095653858	0.37128550426533424	1.0	False
DASSJM01	Intercept	4.199776244277886	0.3811330961301766	11.019185389356599	3.088413086607051e-28	2.6251511236159933e-26	True
DASSJM01	condition[T.pre-drought]	-0.4112602871102269	0.49908649711216696	-0.8240260746180804	0.40992474248596344	1.0	False
DASTBR01	Intercept	-0.057749054965858804	0.1604671405716955	-0.35988087505090777	0.7189362196376807	1.0	False
DASTBR01	condition[T.pre-drought]	-0.1540271530189276	0.20993625555164372	-0.7336853399342325	0.4631405353696577	1.0	False
DASTBU01	Intercept	0.7060447979517743	0.31726107888657645	2.225437801666782	0.026051862232903424	1.0	False
DASTBU01	condition[T.pre-drought]	0.5769031595416887	0.5403301724654574	1.0676863683354076	0.28566200948275966	1.0	False
DASTFP01	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
DASTFP01	condition[T.pre-drought]	0.13666074820617652	0.23918573102772742	0.5713582813614171	0.5677568024422986	1.0	False
DATACQ01	Intercept	2.116662807124545	0.39943061740515656	5.299200198710704	1.1631104729166208e-07	8.141773310416345e-06	True
DATACQ01	condition[T.pre-drought]	0.1362042756280485	0.5833570995382363	0.23348353133245947	0.815385956298698	1.0	False
DATADW01	Intercept	0.1312774631686242	0.20434680074463957	0.6424248517238794	0.5205973679681474	1.0	False
DATADW01	condition[T.pre-drought]	-0.3430536711534106	0.2451145511110228	-1.3995646916858357	0.16164371341409178	1.0	False
DATBIJ01	Intercept	1.5978834211820585	0.5051772946882104	3.163015119609154	0.0015614422191013477	0.09368653314608086	False
DATBIJ01	condition[T.pre-drought]	1.0287239307560716	0.7376116836387201	1.394668703837855	0.16311576656516447	1.0	False
DATBJG01	Intercept	0.22943802530833501	0.2577577293915008	0.8901305340095085	0.3733957992823612	1.0	False
DATBJG01	condition[T.pre-drought]	0.2331247522889166	0.4155888132819879	0.5609504992395822	0.5748312827852646	1.0	False
DATBJJ01	Intercept	0.8315801087411554	0.429370827318401	1.9367410541948513	0.052777004622583994	1.0	False
DATBJJ01	condition[T.pre-drought]	0.6512660357719539	0.6946600396451061	0.9375320280473859	0.3484849568577365	1.0	False
DATBSL01	Intercept	2.337723769901351	0.44472023620045176	5.256616586360269	1.4672977209383943e-07	1.0124354274474921e-05	True
DATBSL01	condition[T.pre-drought]	-0.6902576440877092	0.6690721788437277	-1.0316639458549803	0.30222957291673036	1.0	False
DATBVX01	Intercept	3.9637843827437083	0.41727761825431703	9.499154062770536	2.116022311178647e-21	1.7351382951664905e-19	True
DATBVX01	condition[T.pre-drought]	0.3112978689463628	0.5851371070273866	0.5320084219710798	0.5947201624640962	1.0	False
DATCJA01	Intercept	3.1296274477635864	0.4071927365798249	7.685862655730508	1.519694720167008e-14	1.1245740929235858e-12	True
DATCJA01	condition[T.pre-drought]	0.7503680581207072	0.5257577826744657	1.4272124595163886	0.1535186642153438	1.0	False
DATEDA01	Intercept	4.873599441953317	0.4416692501084988	11.034500230106776	2.6049569325532706e-28	2.2402629619958127e-26	True
DATEDA01	condition[T.pre-drought]	0.45616252441727156	0.5998082960036795	0.7605138632735304	0.4469474857536635	1.0	False
DATFEN01	Intercept	0.2262863571193794	0.27260391268434847	0.8300921101649749	0.4064867075761224	1.0	False
DATFEN01	condition[T.pre-drought]	0.48842710557505015	0.4790251589955757	1.0196272500575723	0.30790527619522545	1.0	False
DATFES01	Intercept	0.40285224017723564	0.29012529935789133	1.3885457113489685	0.16497093547062314	1.0	False
DATFES01	condition[T.pre-drought]	-0.3694945219615883	0.37705427649494866	-0.9799504872252479	0.32711055969376657	1.0	False
DATFRX01	Intercept	1.4354551385851089	0.3010818297000201	4.7676578158679	1.8637998775427007e-06	0.00012301079191781824	True
DATFRX01	condition[T.pre-drought]	-1.088119877458515	0.4117168590254524	-2.6428839470750147	0.008220320560743524	0.7562694915884043	False
DATJKD01	Intercept	2.161219263671568	0.3627502840093722	5.957870631510601	2.5554567718247237e-09	1.8143743079955538e-07	True
DATJKD01	condition[T.pre-drought]	-0.12410774519628341	0.5470776168235051	-0.2268558269974374	0.8205358514914225	1.0	False
DATKFM01	Intercept	3.4674367202533922	0.38345145210260617	9.042700715410396	1.528479075180484e-19	1.1769288878889728e-17	True
DATKFM01	condition[T.pre-drought]	0.26353748144090106	0.541026222175407	0.48710666995260565	0.6261827399129205	1.0	False
DP-20	Intercept	0.4301070820399264	0.2540447776375304	1.6930365034057133	0.09044851917341847	1.0	False
DP-20	condition[T.pre-drought]	0.4191306280794491	0.4047998243053226	1.0354021986020365	0.3004811193804433	1.0	False
Ensifer	Intercept	0.6904248445451522	0.3219244663209121	2.1446796276021423	0.03197847084606614	1.0	False
Ensifer	condition[T.pre-drought]	0.0347416185539397	0.5039651655236788	0.06893654746521835	0.9450401270331363	1.0	False
