	FeatureID	Covariate	Reps	Log2(FC)	CI(2.5)	CI(97.5)	pvalue	qvalue	Signif
74	Ramlibacter	condition[T.pre-drought]	64	0.10015934374827436	-5.74693380393479	5.4237887199308865	0.47514672915687484	0.47514672915687484	False
75	Reyranella	condition[T.pre-drought]	64	0.276138345059002	-3.0607894249366714	3.4481314219741566	0.5575370768871096	0.5575370768871096	False
76	Rhabdochlamydia	condition[T.pre-drought]	64	-0.28401358271741106					False
77	Rhizobium	condition[T.pre-drought]	64	-0.23238697893313073	-4.876188729059607	4.3578333982432635	0.4526114190766502	0.4526114190766502	False
78	Rubrivivax	condition[T.pre-drought]	64	0.06994636637709353	-3.6617793745789573	5.2153032281868805	0.537041925955266	0.537041925955266	False
79	SCGC-AG-212-J23	condition[T.pre-drought]	64	-0.25521385505601263	-1.116323822837584	0.6074604809924706	0.4084655472752643	0.4084655472752643	False
80	SCUD01	condition[T.pre-drought]	64	-0.32700065963910474	-5.374768926430195	5.361622987418557	0.41497389514130234	0.41497389514130234	False
81	SG8-41	condition[T.pre-drought]	64	0.28399985986881154	-3.0071384402080503	4.404649115089387	0.5088797676869433	0.5088797676869433	False
82	SHXO01	condition[T.pre-drought]	64	0.2668639625466224	-3.6722164707973453	5.152764733525122	0.44367301620488536	0.44367301620488536	False
83	Saccharopolyspora_C	condition[T.pre-drought]	64	-0.008494023226940326	-6.277427605814986	6.431286967947184	0.49076373698509246	0.49076373698509246	False
84	Sphingobacterium	condition[T.pre-drought]	64	-0.12070902620542384	-5.6866433412642134	4.192226015981558	0.4635515828981262	0.4635515828981262	False
85	Stenotrophomonas	condition[T.pre-drought]	64	-0.04532060190737539	-4.755620331341239	3.8815581759729025	0.4532846195032774	0.4532846195032774	False
86	Streptomyces	condition[T.pre-drought]	64	-0.34891685572183445	-5.198923341939561	4.828544869694266	0.4881375206377943	0.4881375206377943	False
87	TA-21	condition[T.pre-drought]	64	0.18149370679273497	-1.1962961272924337	2.490196493711472	0.6183589904370924	0.6183589904370924	False
88	TH1177	condition[T.pre-drought]	64	-0.1642679335189429	-1.8197154755910032	2.291156091423176	0.5358610350265485	0.5358610350265485	False
89	TH5896	condition[T.pre-drought]	64	-0.415381833912497	-3.494312277659672	2.7069255604776568	0.43608416857536414	0.43608416857536414	False
90	VBDM01	condition[T.pre-drought]	64	-0.20592682586037922	-4.533309964527984	4.300112493366316	0.5015107585505102	0.5015107585505102	False
91	VGTJ01	condition[T.pre-drought]	64	-0.0020189419335689875	-3.2726438892506144	2.770117745099305	0.583804152440029	0.583804152440029	False
92	Z2-YC6860	condition[T.pre-drought]	64	0.3101136958398304	-4.430352213281568	4.320913038215105	0.507696739889782	0.507696739889782	False
93	ZC4RG19	condition[T.pre-drought]	64	-0.2900964919605923	-4.334526762215968	4.2156357362287995	0.544556015081898	0.544556015081898	False
