	T-statistic	Log2(FC)	CI(2.5)	CI(97.5)	pvalue	qvalue	Signif
DASSJM01	0.6746442957526366	0.4066569091040806	-3.716209861201372	5.43516161296734	0.4980187905288736	1.0	False
DASTBR01	0.07912590493985552	0.10866182546647996	-5.728970293289999	5.43944321659045	0.4968651315351787	1.0	False
DASTBU01	-0.39665405553171634	-0.3668694656986471	-5.187900940606301	4.248555556834301	0.48081208172632933	1.0	False
DASTFP01	0.07514538447237197	0.10188727579367984	-5.554570531491373	6.646493500496719	0.5131625192689672	1.0	False
DATACQ01	0.01784607878031197	0.03522372977638471	-3.981565647437498	5.256795057301444	0.5810938375054229	1.0	False
DATADW01	0.1592582056191591	0.16844468496558063	-4.983480240446556	6.147029578301472	0.483087183225171	1.0	False
DATBIJ01	-0.6367413665568908	-0.600140075068682	-5.332572383256875	3.895857262971428	0.5025277948103961	1.0	False
DATBJG01	-0.01742854738517659	-0.0011426505239500128	-4.738241145210636	5.824051880595428	0.5061843877210077	1.0	False
DATBJJ01	-0.4379878764318743	-0.4313793850516048	-6.069266209093728	4.71586913251584	0.5247032528966449	1.0	False
DATBSL01	0.6280845895806251	0.5976673830783967	-3.7481808062016193	6.577521727428593	0.48128400210586336	1.0	False
DATBVX01	-0.31464964506671156	-0.2235879374061448	-3.6901789759687613	3.9079142690162425	0.596230044109226	1.0	False
DATCJA01	-0.38798451919514304	-0.26300860105063945	-4.014006858770256	3.377495691933569	0.5074683983427841	1.0	False
DATEDA01	-0.5576636551346073	-0.42198006865383764	-4.45883307357686	3.622741041339985	0.5392953372856366	1.0	False
DATFEN01	-0.29862728177843567	-0.2695532044759151	-6.235502391514731	5.568397496541056	0.46247017484778136	1.0	False
DATFES01	0.3148802162804337	0.31373389577165084	-4.909725870305576	5.616759921621421	0.48386382768585007	1.0	False
DATFRX01	0.7544560560375418	0.7290550332432794	-3.9507435616335744	5.534667186635637	0.43444868621964206	1.0	False
DATJKD01	0.1464017627745883	0.10771473164162425	-4.435407206950376	5.838093006198868	0.49637104419173883	1.0	False
DATKFM01	-0.10939107016797223	-0.07604561959446045	-4.95990813439003	3.1567504681454763	0.5552409166223085	1.0	False
DP-20	0.007253553171775007	0.01660856662766349	-5.003216593896875	5.006487252124649	0.5304378434619859	1.0	False
Ensifer	0.025504360234799326	-0.008156019214752072	-4.768723923454036	5.788496944063867	0.476229627257042	1.0	False
Flavobacterium	-0.24225075221395498	-0.23230552307680252	-5.321759800153579	5.1746621813652585	0.4865114538439628	1.0	False
GMQP-bins7	0.193365135806767	0.17986788607308554	-6.1808494938753045	5.187676047159316	0.47868933594865837	1.0	False
Geopseudomonas	-0.754343150589384	-0.7418267593972541	-6.239866984753784	4.219383240209096	0.4442375330834611	1.0	False
Gp6-AA40	-0.08104027284634471	-0.07084244606051888	-3.852159864509131	3.9828688969869392	0.6842521313412845	1.0	False
JAABQT01	0.03954529277192146	0.026308225195201474	-4.548407154867347	5.42423506941999	0.5590194294530334	1.0	False
JACZVU01	0.18508726452957852	0.20251952250515992	-4.318925980756921	4.628792573372462	0.5430732126484719	1.0	False
JAEUMW01	-0.646287393849584	-0.5870647289829927	-5.010077545607539	4.741426339994421	0.3905750684472476	1.0	False
JAGVSZ01	-0.3601087984706405	-0.3666099966508019	-4.63721136840046	4.243034186400692	0.5036967281223831	1.0	False
JAIBJN01	0.4926005588360698	0.4760524320966872	-4.062350698332104	4.737532654332617	0.46331594236202395	1.0	False
JAJKIV01	0.18583001191596832	0.1814175923843054	-5.498250727784134	6.585453556128705	0.4924625750825799	1.0	False
JAJVID01	-0.004521270092313604	-0.008640377188053992	-3.969996357885191	5.322566317805487	0.5052670855488363	1.0	False
JAKEFM01	0.06438540912437372	0.06734025971381445	-4.5087503923337175	5.041269442219821	0.5315110777298923	1.0	False
JAOUEA01	0.4406752159916863	0.4500371629275437	-4.392888022526591	6.22017026515968	0.4649945017042245	1.0	False
JARDZU01	0.870076806636367	0.5484765865488019	-3.9553741640249185	3.9720410078033597	0.42419633559519326	1.0	False
JAREAF01	-0.7788590453904667	-0.5433360264948981	-4.709433719911902	3.8608306240219514	0.4227326699730297	1.0	False
JBEVEP01	-0.09830913709165534	-0.053733562362549996	-4.851454067973908	5.212993893628765	0.48798628256813037	1.0	False
JBGPEQ01	-0.16133275038667216	-0.10549674888866342	-3.8723973424548133	3.9264388079107095	0.5194181681029564	1.0	False
JBIOXB01	0.050878491141674025	0.020861188704721582	-5.238022201526935	5.038052198718795	0.5208849211394593	1.0	False
Metapseudomonas	-0.11771527406798976	-0.12761650909070696	-5.0587147966808415	5.413144211054485	0.5636037977428783	1.0	False
Methyloceanibacter	1.6833674319027871	0.5659303061809543	-0.7597730928393248	1.7926313030220027	0.16481852916006354	1.0	False
Microbacterium	0.1899516759354521	0.23538658812386123	-3.8871378390959874	5.495210755646219	0.4782973103628122	1.0	False
Mycobacterium	0.08771912558668707	0.12178297465882111	-4.902306246487377	6.086593191158089	0.46410216509436425	1.0	False
Neobacillus	0.19423326018052717	0.20714717775103728	-5.564924896470623	6.669378062735879	0.5138122603192599	1.0	False
Nitrosocosmicus	-0.04354211063000944	-0.07213760746244856	-5.693213134590555	4.888585288117564	0.5432679643297981	1.0	False
Nitrososphaera	0.30737061921927533	0.3376001756277737	-4.8953973236180675	5.986217599818269	0.48848131926814625	1.0	False
Nitrospira_C	-0.5895379515680265	-0.2379664216247403	-1.6541705386000625	1.4888389872185452	0.5163990382736572	1.0	False
Nitrospira_D	-1.5239402702123912	-1.2572544966531127	-5.702095265264233	2.968200138747907	0.252131804271391	1.0	False
Nocardioides	0.12449679128509661	0.1318107819324872	-5.367928434346895	4.961965830305715	0.524033008683118	1.0	False
PNKE01	0.47203964914429813	0.48960947066800714	-4.643962795127365	6.15093380023199	0.5190983349252597	1.0	False
Palsa-1315	-0.5396018497728072	-0.39509280428392046	-3.7670016886275173	4.176123832101695	0.4875713875601452	1.0	False
Penicillium	-0.0002627847979292223	0.02693365005162221	-5.35129774435792	5.657445086087367	0.5286333237618863	1.0	False
Peribacillus	0.21925508304182587	0.22991414142356134	-5.631943309954445	5.871774294713807	0.5253418012837532	1.0	False
Pseudolabrys	-0.6371553501776952	-0.3745061268436064	-3.139221035503806	1.7342085710743054	0.5298973799658802	1.0	False
Pseudonocardia	-0.09851325584905517	-0.10103596126349065	-6.015743517925594	5.4480582293839355	0.49913445277691804	1.0	False
RHKX01	0.005113754931787853	0.011977079856746155	-5.906477286329605	6.557182478875707	0.5084713534759607	1.0	False
Ramlibacter	-0.17383979347489992	-0.1427588271700418	-4.5687952624334605	5.252544016797413	0.5348341201373543	1.0	False
Reyranella	-0.3876147336436039	-0.3105286676275321	-3.6730921460958545	4.07924170691331	0.5149562910862994	1.0	False
Rhabdochlamydia	0.337915506551202	0.2789167989234756	-2.952985036823745	5.3746110573739045	0.5086942756952546	1.0	False
Rhizobium	0.05454400024387501	0.07729942558502018	-4.966718938677095	5.492712416842956	0.5083600819107361	1.0	False
Rubrivivax	0.005529693947135862	0.034299216302419236	-4.843160875251516	5.1895358872830615	0.5508650972356919	1.0	False
SCGC-AG-212-J23	0.6658809506842269	0.2013528190007774	-0.814312050491163	1.3252597740910161	0.5347672420711451	1.0	False
SCUD01	0.2425927130834825	0.2764540269845654	-4.9264315105082375	6.82729166895868	0.5168675828783537	1.0	False
SG8-41	-0.3927649486427184	-0.36417739853973763	-4.448433545092279	3.42562274742262	0.5800606267312673	1.0	False
SHXO01	-0.17094785043933894	-0.1938864501332374	-6.2414022257703285	5.5468771955815015	0.4716310759327041	1.0	False
Saccharopolyspora_C	-0.0014967839796416922	3.922237167841895e-05	-6.131634156328316	6.650348579053922	0.507817437938437	1.0	False
Sphingobacterium	0.10252734775767416	0.12222636747853104	-5.483212460988138	5.169280052595595	0.47965548416162906	1.0	False
Stenotrophomonas	0.03373075288766042	0.030068765987355556	-5.940682133892278	5.988229642307565	0.5198115248401244	1.0	False
Streptomyces	0.29343027477956185	0.288231897990447	-6.256956789310052	4.9471304480936125	0.4994120076441465	1.0	False
TA-21	-0.20372153686759079	-0.123271098579671	-3.2888154723346066	1.5194335118718345	0.7089150130680965	1.0	False
TH1177	0.3781430328232689	0.16041881076924464	-3.0088697260448183	2.0029490512287875	0.5340184966614829	1.0	False
TH5896	0.6038362034149202	0.4449737724562304	-2.911208906520252	3.9892617274503035	0.5107447280386157	1.0	False
VBDM01	0.26189969017665493	0.27665585121562813	-4.280838008401152	5.273255025119577	0.5290372994110126	1.0	False
VGTJ01	0.016393676453222303	0.022294342306443317	-3.648398295324379	3.7576103011149313	0.510071103159249	1.0	False
Z2-YC6860	-0.18970651992483284	-0.1435724757349239	-4.082214562936474	4.68180575226842	0.5388199666019093	1.0	False
ZC4RG19	0.2783063690000429	0.2554698984738287	-5.618746301437681	5.194307103430471	0.48339405960695964	1.0	False
