	ATPsynbeta	B''BETA	B'BETA	B'ETA	BETA	BETA-OHASE	BETA-TT1	E1-BETA-2	GGPS	GGPS1	HDG1	Itgbn	OSCPNY1	Octbeta1R	Octbeta3R	PDH-E1	PFP-BETA	PYD3	PolG2	bet	betA	betA1	betB	betB1	betT	betT2	beta'COP	beta-PheRS	beta-Spec	beta-galIII	beta4GalT7	cpb	dj-1beta	ectA	ectB	ectC	ectD	egtUA	flw	gbsA	ggpS	gspD2	gtb1	mtlD	ninaB	norpA	opuBA	opuBB	opuBC	opuD	otsA	otsB	proV	proW	proX	tgo	treS	treY	treZ
SRR24887634	203.87819501117252	0.0	0.0	0.0	0.0	0.0	0.0	3.837707200210306	32.6205112017876	18.229109200998955	0.0	0.47971340002628826	1.439140200078865	0.0	0.0	73.3961502040221	0.9594268000525765	2.87828040015773	0.0	0.9594268000525765	131.92118500722927	7.195701000394324	415.91151782279195	7.675414400420612	0.0	0.0	2.3985670001314414	0.0	0.0	0.47971340002628826	0.0	0.0	0.9594268000525765	0.9594268000525765	101.69924080557311	1.439140200078865	3.837707200210306	187.08822601025244	0.47971340002628826	113.69207580623032	12.472548400683495	22.54652980123555	0.0	0.9594268000525765	0.0	0.0	144.39373340791278	19.18853600105153	1.439140200078865	0.9594268000525765	78.19328420428499	9.594268000525766	292.1454606160096	8.1551278004469	0.9594268000525765	0.0	181.81137860996327	45.572773002497385	94.50353980517879
SRR24887636	190.4	0.0	0.0	0.0	0.0	0.0	0.0	2.4	38.2	22.6	0.0	0.0	0.2	0.0	0.0	56.0	2.8	4.2	0.0	1.8	161.2	6.6	475.4	11.6	3.2	1.6	2.0	0.2	0.2	2.0	0.4	0.0	1.4	0.0	95.8	0.8	3.4	184.6	0.0	129.2	9.2	25.2	0.0	2.6	0.0	0.0	149.4	18.2	2.4	3.0	80.2	9.4	290.4	13.8	1.6	0.4	180.6	41.2	92.0
SRR24887766	199.1384526504562	0.0	0.0	0.0	0.0	1.094167322255254	0.0	3.8295856278933886	34.466270651040496	19.69501180059457	0.0	0.0	0.0	0.0	0.0	59.632119062911336	2.188334644510508	4.923752950148643	0.0	0.0	139.50633358754487	4.923752950148643	400.4652399454229	8.753338578042031	0.0	0.547083661127627	3.8295856278933886	0.547083661127627	0.0	1.6412509833828808	0.0	0.0	3.8295856278933886	0.0	94.64547337507946	1.094167322255254	2.188334644510508	166.86051664392622	0.0	110.51089954778064	4.923752950148643	25.16584841187084	0.0	0.547083661127627	0.0	0.0	124.18799107597133	16.959593494956437	1.6412509833828808	1.094167322255254	96.28672435846235	12.035840544807794	243.45222920179398	13.677091528190674	0.547083661127627	0.0	171.78426959407486	35.013354312168126	81.51546550801642
SRR24887773	200.8	0.0	0.2	0.0	0.2	0.2	0.0	4.2	34.6	22.0	0.0	0.0	1.0	0.0	0.0	55.2	2.8	6.0	0.2	3.0	148.6	5.2	451.8	8.4	0.2	0.2	3.4	0.2	0.2	3.2	0.2	0.0	1.4	1.0	100.8	1.6	2.6	173.2	0.2	121.0	8.4	29.6	0.0	1.4	0.0	0.0	142.4	15.4	3.8	1.4	80.6	8.8	287.4	10.8	0.6	0.0	161.4	39.4	91.8
SRR24887774	191.4	0.0	0.0	0.0	0.0	0.0	0.0	2.2	29.4	21.2	0.0	0.0	1.0	0.0	0.0	55.2	1.6	4.4	0.2	2.2	177.6	5.6	451.2	6.6	0.2	0.4	2.0	0.4	0.2	0.8	0.4	0.2	1.6	0.4	93.2	1.8	2.0	177.4	0.0	108.4	7.4	24.8	0.0	2.0	0.2	0.0	135.6	16.6	1.8	1.6	81.0	15.0	304.8	12.0	0.6	0.0	174.6	42.0	94.0
SRR24887777	195.4	0.0	0.0	0.0	0.4	0.0	0.0	4.4	40.4	20.4	0.0	0.0	0.8	0.0	0.0	56.2	2.6	5.2	0.0	0.6	159.6	4.8	437.2	6.8	0.6	0.0	3.2	0.2	0.0	1.4	0.2	0.0	1.8	0.2	93.2	1.4	5.0	180.4	0.2	118.6	8.2	23.8	0.0	1.2	0.0	0.0	134.6	19.0	3.0	1.6	90.4	10.2	285.0	9.8	1.4	0.2	177.2	44.0	95.4
SRR24888034	200.4	0.0	0.0	0.0	0.0	0.0	0.0	5.8	32.6	20.8	0.0	0.0	1.0	0.0	0.0	53.2	2.0	2.8	0.0	1.8	153.4	4.6	431.8	9.0	0.6	0.4	2.0	0.0	0.0	4.4	0.0	0.0	0.6	0.4	86.0	1.0	2.4	163.4	0.2	108.8	7.8	28.2	0.0	3.0	0.0	0.0	126.8	18.2	2.2	2.0	82.6	8.2	285.4	9.4	0.4	0.2	172.6	38.2	96.0
SRR24888047	186.6	0.0	0.0	0.0	0.0	0.0	0.2	2.4	35.6	22.0	0.0	0.2	1.4	0.0	0.2	53.0	1.6	4.8	0.2	1.8	170.0	4.8	435.4	8.8	0.8	0.4	2.6	0.0	0.0	3.2	0.2	0.0	1.2	0.0	90.6	0.4	3.4	177.0	0.0	115.0	7.8	29.2	0.0	2.2	0.2	0.0	139.8	15.8	3.6	0.6	80.4	13.6	300.6	9.6	0.8	0.2	155.8	33.4	97.4
SRR24888113	199.6	0.0	0.0	0.2	0.0	0.0	0.0	3.4	40.6	20.0	0.0	0.0	1.2	0.0	0.0	56.0	1.8	5.8	0.0	1.4	152.0	5.8	428.0	8.2	0.2	0.2	3.6	0.6	0.0	1.0	0.2	0.0	2.2	0.4	100.4	1.2	5.0	184.4	0.2	111.4	9.2	25.6	0.0	0.6	0.0	0.0	132.6	16.8	2.6	0.6	90.2	11.8	290.6	7.8	1.0	0.2	186.6	44.4	104.6
SRR24888123	195.6	0.0	0.0	0.0	0.0	0.0	0.2	5.2	34.0	19.6	0.2	0.0	1.2	0.0	0.0	58.8	1.4	7.4	0.0	0.8	170.4	6.4	440.0	7.6	0.6	0.4	2.4	0.4	0.0	2.0	0.0	0.0	1.4	0.0	97.4	1.0	3.0	191.4	0.4	120.8	8.6	25.2	0.0	1.2	0.0	0.0	141.4	20.6	4.8	3.0	77.8	15.2	304.6	9.6	1.4	0.0	166.8	46.2	93.6
