genus	pre	drought	log2FC	p	cliffs_delta	q_BH
Marinihelvus	0.03919	0.04059	0.04926	0.87686	0.03175	0.92334
Leeia	0.01882	0.01848	-0.02505	0.87686	-0.03175	0.92334
Denitromonas	0.02463	0.02483	0.01134	0.87686	-0.03175	0.92334
Cyclobacterium	0.02046	0.02021	-0.01708	0.87686	0.03175	0.92334
Candidatus Thioglobus	0.0127	0.01295	0.02626	0.87686	0.03175	0.92334
Roseitranquillus	0.01	0.00985	-0.02046	0.87686	-0.03175	0.92334
Tropicimonas	0.01805	0.01781	-0.01838	0.87686	-0.03175	0.92334
Herpetosiphon	0.01824	0.0182	-0.00338	0.89912	0.02646	0.93439
Acidiferrobacter	0.01785	0.01782	-0.00206	0.89912	-0.02646	0.93439
Gloeobacter	0.02887	0.02909	0.01037	0.89912	0.02646	0.93439
Maribellus	0.01015	0.01018	0.00399	0.89912	-0.02646	0.93439
Algihabitans	0.01211	0.01225	0.01506	0.89912	0.02646	0.93439
Kordiimonas	0.03302	0.03334	0.01358	0.89912	-0.02646	0.93439
Algiphilus	0.01731	0.01729	-0.00149	0.89912	0.02646	0.93439
Modicisalibacter	0.01252	0.01275	0.02522	0.89912	0.02646	0.93439
Emticicia	0.02871	0.02845	-0.01263	0.89912	-0.02646	0.93439
Novimethylophilus	0.0122	0.01273	0.05685	0.89912	0.02646	0.93439
Marinobacterium	0.0553	0.05625	0.02398	0.89912	0.02646	0.93439
Persicimonas	0.01378	0.01339	-0.03881	0.89912	-0.02646	0.93439
Woeseia	0.07117	0.07213	0.01889	0.89912	0.02646	0.93439
Robiginitomaculum	0.01961	0.01984	0.01593	0.89912	-0.02646	0.93439
Candidatus Contendibacter	0.03821	0.03876	0.02035	0.89912	-0.02646	0.93439
Billgrantia	0.01632	0.01588	-0.03726	0.92145	-0.02116	0.94933
Minwuia	0.01846	0.01817	-0.02154	0.92145	0.02116	0.94933
Sedimenticola	0.03903	0.03919	0.00583	0.92145	-0.02116	0.94933
Congregibacter	0.01049	0.01079	0.03765	0.92145	-0.02116	0.94933
Endozoicomonas	0.02133	0.02147	0.00861	0.92145	0.02116	0.94933
Limobrevibacterium	0.01881	0.0192	0.02862	0.92145	-0.02116	0.94933
Metallibacterium	0.03097	0.03102	0.00207	0.92145	-0.02116	0.94933
Saccharospirillum	0.01328	0.01342	0.01395	0.92145	-0.02116	0.94933
Methylobacter	0.07535	0.07601	0.01237	0.92145	0.02116	0.94933
Arenimonas	0.11035	0.11028	-0.00083	0.92145	-0.02116	0.94933
Algisphaera	0.01107	0.01111	0.00487	0.94385	-0.01587	0.9649
Pseudogemmatithrix	0.0616	0.06283	0.02819	0.94385	-0.01587	0.9649
Rohdeia	0.03669	0.03782	0.0426	0.94385	0.01587	0.9649
Nitrococcus	0.01423	0.01446	0.02141	0.94385	-0.01587	0.9649
Oleiphilus	0.01118	0.01139	0.02445	0.94385	0.01587	0.9649
Roseospira	0.01893	0.01866	-0.02015	0.94385	-0.01587	0.9649
Aquibaculum	0.01145	0.01141	-0.00389	0.94385	-0.01587	0.9649
Pelagicoccus	0.03855	0.03865	0.00336	0.94385	0.01587	0.9649
Allostella	0.08547	0.08551	0.00071	0.94385	-0.01587	0.9649
Methylosarcina	0.00975	0.01015	0.05292	0.96629	0.01058	0.98195
Ignavibacterium	0.01673	0.01707	0.02732	0.96629	0.01058	0.98195
Spirosoma	0.10119	0.1002	-0.01399	0.96629	-0.01058	0.98195
Elioraea	0.11907	0.11304	-0.07426	0.96629	0.01058	0.98195
Tepidiphilus	0.01546	0.01556	0.00826	0.96629	-0.01058	0.98195
Amphritea	0.01004	0.01025	0.02735	0.96629	0.01058	0.98195
Tistlia	0.0289	0.02944	0.02576	0.96629	0.01058	0.98195
Marinicella	0.01742	0.01736	-0.00422	0.98876	0.00529	0.9946
Haliangium	0.09461	0.09269	-0.02932	0.98876	-0.00529	0.9946
Methylomonas	0.07541	0.07564	0.00439	0.98876	0.00529	0.9946
Bryobacter	0.13223	0.133	0.00834	0.98876	-0.00529	0.9946
Paludibacterium	0.0218	0.02225	0.02787	0.98876	0.00529	0.9946
Geobacter	0.11646	0.1178	0.01641	0.98876	0.00529	0.9946
Scytonema	0.01723	0.01711	-0.00981	0.98876	-0.00529	0.9946
Pelobacter	0.01209	0.01255	0.04965	0.98876	-0.00529	0.9946
Alteraurantiacibacter	0.03673	0.03704	0.01188	0.98876	0.00529	0.9946
Beggiatoa	0.02227	0.02206	-0.01322	0.98876	0.00529	0.9946
Terricaulis	0.10368	0.10231	-0.01909	0.98876	-0.00529	0.9946
Natronospira	0.01682	0.01687	0.00348	0.98876	0.00529	0.9946
Rhizopus	0.013	0.01283	-0.01755	1.0	0.0	1.0
Lewinella	0.01147	0.01172	0.02883	1.0	0.0	1.0
Thiocystis	0.02773	0.02847	0.03654	1.0	0.0	1.0
Candidatus Nitronereus	0.01457	0.01444	-0.01168	1.0	0.0	1.0
Desulfogranum	0.01003	0.00983	-0.02738	1.0	0.0	1.0
Coxiella	0.01411	0.01454	0.04037	1.0	0.0	1.0
Azospira	0.09595	0.09727	0.01946	1.0	0.0	1.0
