species	pre	drought	log2FC	p	q_BH	cliffs_delta	cliffs_mag
CAZWGW01 sp964633565	0.0	0.0477238095238095	5.606555031215514	0.1971971808595694	0.6741850066077485	0.09523809523809523	negligible
Reyranella sp902825855	0.364511111111111	0.1974952380952381	-0.880810865589205	0.2203611966313917	0.6741850066077485	-0.19576719576719576	small
SCGC-AG-212-J23 sp035454685	15.59117777777778	19.184942857142858	0.2992272202027988	0.2203968049308436	0.6741850066077485	0.2328042328042328	small
Nitrospira_C sp035454845	4.768172222222223	3.990319047619047	-0.2568732757933606	0.2423512375135982	0.6741850066077485	-0.2222222222222222	small
Gp6-AA40 sp025924295	0.0470833333333333	0.1478666666666666	1.6304119322896284	0.2445287854363432	0.6741850066077485	0.12962962962962962	negligible
AR31 sp035649755	5.815272222222222	7.604085714285713	0.3868697140615272	0.253887299829074	0.6741850066077485	0.21693121693121692	small
JAGVSZ01 sp964543155	0.6176722222222222	0.2275238095238095	-1.4368307746464546	0.2552154079838792	0.6741850066077485	-0.15343915343915343	small
Z2-YC6860 sp963814215	0.363961111111111	0.1666904761904761	-1.1219419891672169	0.2722696232137759	0.6741850066077485	-0.14814814814814814	small
Rubrivivax sp964446545	0.2213111111111111	0.0841666666666666	-1.38421926563483	0.2727902953810475	0.6741850066077485	-0.1111111111111111	negligible
DASTBU01 sp035711845	0.2404888888888889	0.1165523809523809	-1.0386530507482374	0.2777330210882603	0.6741850066077485	-0.1693121693121693	small
DATFEN01 sp035251085	0.1639111111111111	0.0693571428571428	-1.2289198030854798	0.2917596092235884	0.6741850066077485	-0.12698412698412698	negligible
DATBIJ01 sp036557025	1.0809222222222223	0.8197047619047618	-0.3986615604340203	0.2975377823187636	0.6741850066077485	-0.17989417989417988	small
Bradyrhizobium elkanii	0.0248333333333333	0.0	-4.6911619045530815	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Acinetobacter soli	0.0066055555555555	0.0	-2.927053634928225	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Aquipseudomonas sp013359595	0.0176888888888888	0.0	-4.22410889392547	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Comamonas thiooxydans	0.0157055555555555	0.0	-4.062256056244328	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Bacillus_A cereus_AU	0.0059777777777777	0.0	-2.8027676525619523	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
DASTFP01 sp036525175	0.0160055555555555	0.0	-4.087934233197317	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Aquipseudomonas peradeniyensis	0.0179111111111111	0.0	-4.241162225356288	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Flavobacterium gelatinilyticum	0.0189722222222222	0.0	-4.319922958996986	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Pseudonocardia sp001420995	0.0129166666666666	0.0	-3.798741791752896	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Nitrospira_D sp029194665	0.0867555555555555	0.0	-6.455418556130674	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Nitrospira_D sp036277675	0.01445	0.0	-3.949534933017012	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
RHKX01 sp035759925	0.0193777777777777	0.0	-4.34892482726538	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Flavobacterium sp913777665	0.0100055555555555	0.0	-3.460160068559812	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Metapseudomonas resinovorans_C	0.0654	0.0	-6.053111336459563	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Penicillium citrinum	0.0046888888888888	0.0	-2.508146903670325	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Metapseudomonas sp029871245	0.0424777777777777	0.0	-5.44220629857112	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Microbacterium sp965345345	0.0317277777777777	0.0	-5.03244374133295	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Rhizobium sp002944315	0.0165055555555555	0.0	-4.129740942687865	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Saccharopolyspora_C sp040643635	0.0183777777777777	0.0	-4.276331228447252	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Sphingobacterium siyangense	0.0069	0.0	-2.981852653289741	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Stenotrophomonas maltophilia_O	0.0153777777777777	0.0	-4.033667712765395	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Aeromonas sp051657805	0.02855	0.0	-4.88508622529017	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Acinetobacter johnsonii	0.0143944444444444	0.0	-3.944337899151742	0.3036258407047394	0.6741850066077485	-0.05555555555555555	negligible
Nitrospira_C sp036376045	0.1604333333333333	0.0788380952380952	-1.0157892955605097	0.3086745576328393	0.6741850066077485	-0.13756613756613756	negligible
JAREAF01 sp035620695	0.4622111111111111	0.2238047619047619	-1.0429972642459635	0.3118132641338679	0.6741850066077485	-0.15343915343915343	small
Rhabdochlamydia porcellionis	0.2792611111111112	0.3914380952380952	0.4856935248097334	0.3143056321051333	0.6741850066077485	0.19047619047619047	small
DP-20 sp036554745	0.0929055555555555	0.0519285714285714	-0.8271637964623509	0.3307039112303199	0.6741850066077485	-0.14285714285714285	negligible
DASRRB01 sp036732755	0.2241777777777777	0.1248761904761904	-0.8390590359292628	0.3347731021332966	0.6741850066077485	-0.1164021164021164	negligible
Peribacillus asahii_A	0.0277333333333333	0.0553523809523809	0.971751198603312	0.343507463709643	0.6741850066077485	0.12169312169312169	negligible
Gp6-AA40 sp963772955	0.0480055555555555	0.1439142857142857	1.5641826074849428	0.3491842826881903	0.6741850066077485	0.09523809523809523	negligible
DATBJJ01 sp963797625	0.8206	0.5021428571428571	-0.7074680996572285	0.3685003873160978	0.6741850066077485	-0.13227513227513227	negligible
DASRDR01 sp963799055	0.4303111111111111	0.290347619047619	-0.5659873614370144	0.3764335565795863	0.6741850066077485	-0.14814814814814814	small
Metapseudomonas sp029871205	0.0377277777777777	0.4628619047619048	3.58225474174077	0.3774107550039819	0.6741850066077485	0.08994708994708994	negligible
SCUD01 sp035281265	0.0	0.0828428571428571	6.389615975832347	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Aquipseudomonas sp039673335	0.0	0.0119666666666666	3.6967357493776736	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Arthrobacter sp044748905	0.0	0.0128190476190476	3.788586286400622	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Arthrobacter sp044391085	0.0	0.0086428571428571	3.269460674993227	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Mycobacterium sp036235365	0.0	0.0086809523809523	3.2751489821786097	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Microbacterium trichothecenolyticum_D	0.0	0.026695238095238	4.791566036253472	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Metapseudomonas resinovorans_D	0.0	0.0684190476190476	6.117259667419203	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Peribacillus frigoritolerans	0.0	0.0073904761904761	3.068752691254291	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
JAOUEA01 sp035711865	0.0	0.014995238095238	3.999570562568376	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
DASTBR01 sp035711945	0.0	0.0056	2.722466024471091	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
DATBSL01 sp963724555	0.0	0.0582380952380952	5.888453347351843	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
DATFES01 sp035250945	0.0	0.0175857142857142	4.21612222977283	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Cupriavidus pickettii_A	0.0	0.0176238095238095	4.219076303066823	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Streptomyces sp044754405	0.0	0.010695238095238	3.5478493277040566	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Rubrivivax sp019635285	0.0	0.0494809523809523	5.657667223557982	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
VBDM01 sp963699535	0.0	0.0723857142857142	6.197427341401993	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Z2-YC6860 sp963787955	0.0	0.0466190476190476	5.573466861883326	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
Streptomyces caniscabiei	0.0	0.0141380952380952	3.9201117834718535	0.3819082696390714	0.6741850066077485	0.047619047619047616	negligible
VGTJ01 sp963733195	0.6457333333333334	0.5574714285714286	-0.211687496120064	0.4006401035494158	0.7001084637782722	-0.15873015873015872	small
JAJVID01 sp036565725	0.3661833333333333	0.5380714285714286	0.5539758715731186	0.4164697195964622	0.7204926149018795	0.14285714285714285	negligible
AWTP1-13 sp035762425	0.0971333333333333	0.0637428571428571	-0.6000222315729453	0.4229318296447775	0.721187944640059	-0.11375661375661375	negligible
Agromyces sp965652625	0.256	0.3466666666666666	0.4359363926047312	0.4342742532197854	0.721187944640059	0.13756613756613756	negligible
AWTP1-13 sp050248715	0.3614888888888889	0.3218476190476191	-0.1670833864455154	0.4346401744671572	0.721187944640059	-0.14814814814814814	small
Palsa-1315 sp035457905	0.0682888888888889	0.1094571428571428	0.672790788898159	0.4379344424380881	0.721187944640059	0.07936507936507936	negligible
SG8-41 sp044867805	0.5665222222222223	0.3092952380952381	-0.8710353275871731	0.4405585571712835	0.721187944640059	-0.12698412698412698	negligible
Bradyrhizobium pachyrhizi	0.0475833333333333	0.0178238095238095	-1.3679028503258492	0.446052659401655	0.721187944640059	-0.06878306878306878	negligible
Pseudonocardia sp050246655	0.0319222222222222	0.0098428571428571	-1.6023167561611076	0.446052659401655	0.721187944640059	-0.06878306878306878	negligible
Bradyrhizobium jicamae	0.2575166666666666	0.2021047619047619	-0.3480332298072236	0.4669099651047074	0.7366551314531037	-0.1111111111111111	negligible
Gp6-AA40 sp963818645	2.7406722222222224	2.245366666666667	-0.28746266843357	0.4687858673925943	0.7366551314531037	-0.13756613756613756	negligible
Aquipseudomonas putida_Z	0.0414111111111111	0.0174571428571428	-1.2002630371369254	0.4832709874097118	0.7366551314531037	-0.06349206349206349	negligible
Reyranella sp021732285	0.5023222222222222	0.3816428571428572	-0.3954838269050792	0.4892465070334009	0.7366551314531037	-0.1164021164021164	negligible
ZC4RG19 sp046734715	0.2181111111111111	0.3030428571428571	0.4726120516315837	0.4938994500037206	0.7366551314531037	0.11904761904761904	negligible
DATCJA01 sp963734635	1.3247055555555556	1.1648333333333334	-0.1853988260889529	0.4953395687053084	0.7366551314531037	-0.12962962962962962	negligible
Metapseudomonas sp029871235	0.8373055555555555	0.1008857142857142	-3.0405244094831256	0.4972334104702968	0.7366551314531037	-0.07671957671957672	negligible
SG8-41 sp036555035	0.1426222222222222	0.0797714285714285	-0.830362029062055	0.4972334104702968	0.7366551314531037	-0.07671957671957672	negligible
Nitrospira_C sp047150005	0.1979666666666666	0.0934619047619047	-1.0747222211797345	0.4972334104702968	0.7366551314531037	-0.07671957671957672	negligible
TH5896 sp029237515	0.7822777777777778	1.2772238095238095	0.7065445322349975	0.4982002912139487	0.7366551314531037	0.12962962962962962	negligible
TH1177 sp035706205	0.0395611111111111	0.0681428571428571	0.7694830469692955	0.5100816829470877	0.7478316199139505	0.08994708994708994	negligible
CAVVWJ01 sp046729675	0.4882944444444445	0.328052380952381	-0.5723856412542879	0.5165271194268036	0.7509175769818237	-0.09259259259259259	negligible
TH1177 sp035250975	0.0481388888888888	0.1210285714285714	1.312281834449029	0.5360555933565719	0.7679504820998613	0.08465608465608465	negligible
Brocadia sp030837935	0.1666611111111111	0.1033904761904761	-0.6835579983395986	0.5391938641454476	0.7679504820998613	-0.1111111111111111	negligible
Flavobacterium sp035456225	0.0462944444444444	0.0322285714285714	-0.509246454237101	0.5415604555848733	0.7679504820998613	-0.07936507936507936	negligible
