feature	pre	drought	log2FC	p	cliffs_delta	q_BH
AA76346	0.0471	0.0596	0.3347	0.8757	0.0235	0.9708
PL50872	0.0471	0.0596	0.3348	0.8757	0.0235	0.9708
GT55544	0.0471	0.0581	0.2985	0.8757	0.0235	0.9708
PL21449	0.0353	0.04	0.1759	0.8757	0.0235	0.9708
PL21036	0.0471	0.04	-0.229	0.8758	0.0235	0.9708
AA76597	0.1145	0.1732	0.5925	0.8763	0.0294	0.9708
GT24	15.8148	16.0777	0.0238	0.8787	-0.0324	0.9708
GT111	36.2403	35.9731	-0.0107	0.8788	0.0324	0.9708
GT69	43.4854	43.1509	-0.0111	0.8788	-0.0324	0.9708
AA01935	0.0471	0.054	0.1943	0.8815	-0.0235	0.9708
AA2617823	0.1412	0.13	-0.1181	0.8817	0.0294	0.9708
CE66655	0.0824	0.084	0.0281	0.8852	0.0265	0.9708
CE02478	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL23879	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE01721	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL23876	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
AA7403059	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE04800	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
GH70077	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE71255	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE90584	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL47529	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
GH45493	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL19720	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
AA2138642	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE82644	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL37367	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE67678	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE74256	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
GT80780	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL50311	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
GT38316	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
AA95125	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
PL20556	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
GT31941	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CBM68	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
CE03268	0.0235	0.02	-0.2241	0.8874	-0.0176	0.9708
