	AI5_BETA	ATPsynB	ATPsynbeta	Actbeta	B''BETA	B'BETA	B'ETA	BETA	BETA-OHASE	BETA-TT1	CTF1-BETA	E1-BETA-2	GGPS	GGPS1	HDG1	Hr39	Itgbn	Krt6b	OSCPNY1	Octbeta1R	Octbeta3R	PDH-E1	PFP-BETA	PLA2-BETA	PYD3	PolG2	THRB	Taf11	bet	betA	betA1	betB	betB1	betT	betT2	beta'COP	beta-PheRS	beta-Spec	beta-galIII	beta4GalT7	cpb	dj-1beta	ectA	ectB	ectC	ectD	egtUA	flw	gbsA	ggpS	gspD2	gspS2	gtb1	mtlD	ninaB	norpA	opuBA	opuBB	opuBC	opuD	otsA	otsB	proV	proW	proX	tgo	treS	treY	treZ
SRR24888476	0.0	0.09328217386519243	143.71673586830647	0.0	0.0	0.09328217386519243	0.12437623182025657	6.6696754313612585	0.0	5.363724997248564	0.0	0.41976978239336593	5.317083910315969	3.6690988386975687	0.015547028977532072	0.0	0.015547028977532072	0.07773514488766035	0.09328217386519243	0.0	0.0	11.893477167812035	0.18656434773038486	0.0	0.8550865937642639	0.046641086932596214	0.0	0.0	0.0	17.459313541768516	0.46641086932596215	102.22171552727336	1.1660271733149052	0.17101731875285278	0.12437623182025657	0.637428188078815	0.5285989852360904	0.870633622741796	0.07773514488766035	0.0	0.27984652159557727	0.2642994926180452	0.13992326079778863	15.718046296284925	0.5752400721686867	1.2904034051351618	22.512097959466438	1.6168910136633354	26.523231435669715	1.119386086382309	8.442036734799915	0.0	0.0	0.20211137670791693	0.0	0.07773514488766035	13.914590934891203	0.5441460142136225	0.06218811591012829	0.3886757244383018	16.106722020723225	3.3892523171019917	37.96584476313332	0.8550865937642639	0.24875246364051315	0.0	18.874093178723935	3.2026879693716066	9.15720006776639
SRR24888477	0.0	0.0	33.62791901564618	0.0	0.0	0.21907439098140835	0.657223172944225	2.3002811053047876	0.0	2.8479670827583083	0.0	0.10953719549070418	1.6430579323605625	0.7667603684349292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.148248188063096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.406033571616897	0.4381487819628167	42.50043185039322	0.3286115864721125	0.3286115864721125	0.10953719549070418	0.657223172944225	0.3286115864721125	1.31444634588845	0.21907439098140835	0.0	0.5476859774535209	1.2049091503977458	0.0	6.791306120423659	0.10953719549070418	0.9858347594163376	10.077421985144785	2.7384298872676043	11.720479917505347	1.6430579323605625	3.176578669230421	0.0	0.0	0.8762975639256334	0.10953719549070418	0.0	4.819636601590983	0.4381487819628167	0.0	0.5476859774535209	22.783736662066467	4.600562210609575	19.93576957930816	0.10953719549070418	0.10953719549070418	0.0	29.355968391508718	7.6676036843492925	18.4022488424383
SRR24888479	0.0	0.0	22.619532903576648	0.0	0.054156902402817196	0.16247070720845158	0.19857530881032973	1.660811673686394	0.0	1.8593869824967237	0.0	0.23467991041220784	1.4080794624732471	1.1733995520610392	0.0	0.018052300800939065	0.0	0.0	0.018052300800939065	0.018052300800939065	0.0	4.386709094628193	0.10831380480563439	0.0	0.541569024028172	0.0	0.0	0.0	0.07220920320375626	11.084112691776586	0.3429937152178423	44.64333988072231	0.541569024028172	0.07220920320375626	0.07220920320375626	0.4152029184215985	0.28883681281502505	0.5776736256300501	0.03610460160187813	0.0	0.4152029184215985	0.9387196416488314	0.018052300800939065	6.607142093143698	0.25273221121314693	0.6679351296347454	10.795275878961561	2.9966819329558847	11.372949504591611	2.8522635265483722	1.93159618570048	0.0	0.0	0.19857530881032973	0.10831380480563439	0.18052300800939067	7.311181824380322	0.5957259264309892	0.12636610560657346	0.36104601601878133	23.052788122799186	4.115924582614107	20.417152205862084	0.6318305280328673	0.14441840640751252	0.018052300800939065	31.411003393633976	5.451794841883598	17.727359386522163
SRR24888481	0.0	0.0	26.364736654577566	0.0	0.12860847148574422	0.18576779214607497	0.05715932066033076	3.3723999189595153	0.02857966033016538	3.5010083904452594	0.6430423574287211	0.10002881115557884	0.35724575412706727	0.32866609379690187	0.0	0.0	0.0	0.01428983016508269	0.042869490495248075	0.01428983016508269	0.0	2.6721982408704634	0.042869490495248075	0.0	0.2715067731365711	0.0	0.0	0.0	0.0	3.7439355032516652	0.10002881115557884	31.837741607804237	0.414405074787398	0.37153558429214995	0.21434745247624037	0.9002593004002095	0.25721694297148845	0.5430135462731422	0.05715932066033076	0.0	0.08573898099049615	0.12860847148574422	0.4715643954477288	5.801671047023572	1.1288965830415325	1.1146067528764498	5.715932066033076	2.0291558834417422	9.07404215482751	0.9859982813907057	0.5858830367683904	0.0	0.0	3.3009507681341015	0.0	0.0	3.34382025862935	0.25721694297148845	0.042869490495248075	1.571881318159096	12.760818337418844	1.757649110305171	9.759954002751478	0.9002593004002095	0.0	0.0	20.034341891445933	2.457850788394223	6.601901536268203
SRR24888483	0.0	0.0	87.64334239816044	0.0	0.13337674697048427	0.07409819276138015	0.1037374698659322	2.7268134936187893	0.0	2.4304207225732686	0.2519338553886925	0.4149498794637288	2.8009116863801693	1.556062047988983	0.014819638552276028	0.05927855420910411	0.0	0.0	0.11855710841820823	0.0	0.0	5.616643011312615	0.503867710777385	0.0	0.5927855420910412	0.0	0.0	0.0	0.0	13.545149636780291	0.38531060235917675	65.87329336486695	1.3930460239139468	0.08891783131365617	0.1037374698659322	0.548326626434213	0.4297695180160048	0.28157313249324456	0.4149498794637288	0.0	0.16301602407503632	0.8298997589274576	1.3337674697048427	15.130850961873826	2.6675349394096854	1.985831566004988	16.42015951592184	2.489699276782373	16.820289756833294	3.112124095977966	4.001302409114528	0.0	0.0	2.8750098791415497	0.0	0.014819638552276028	10.877614697370605	0.9780961444502179	0.1481963855227603	0.8447193974797337	30.172784092433997	4.03094168621908	32.558745899350434	1.4671442166753268	0.22229457828414043	0.0	46.489206138489905	7.4394585532425666	27.72754373130845
SRR24888484	0.0	0.0	115.97288977879964	0.0	0.0	0.14343397656473983	0.3911835724492905	5.919911396399262	0.0	6.441489492998316	0.0	0.4433413821091958	3.703204485853283	1.8646416953416178	0.0	0.0	0.026078904829952697	0.0	0.15647342897971617	0.013039452414976348	0.052157809659905394	10.24900959817141	0.19559178622464524	0.0	0.6780515255787701	0.0	0.0	0.0	0.06519726207488175	17.094722116033992	0.4042230248642668	70.90854223264138	0.9649194787082498	0.4303019296942195	0.260789048299527	0.6519726207488175	0.3259863103744087	1.4995370277222801	0.1303945241497635	0.026078904829952697	1.121392907687966	0.6389331683338411	0.1303945241497635	11.487757577594163	0.16951288139469253	8.697314760789224	18.907206001715704	3.7684017479281646	16.429710042870198	2.047194029151287	9.61007642983757	0.0	0.0	0.36510466761933774	0.0	0.18255233380966887	14.825857395828109	1.0301167407831315	0.052157809659905394	0.299907405544456	18.085720499572194	3.103389674764371	31.77714553529736	1.0301167407831315	0.9779589311232262	0.260789048299527	24.136026420121222	5.8155957770794515	14.786739038583178
SRR24888485	0.0	0.0	164.09116217538588	0.0	0.015440967552026525	0.1852916106243183	0.1235277404162122	8.724146666894987	0.0	9.295462466319968	0.0617638702081061	0.6485206371851141	5.049196389512674	2.470554808324244	0.0	0.04632290265607957	0.0	0.04632290265607957	0.09264580531215914	0.04632290265607957	0.015440967552026525	12.877766938390122	0.13896870796823874	0.0	0.9882219233296976	0.0	0.0	0.0	0.1235277404162122	25.832738714540376	0.8183712802574058	92.04360757763011	1.235277404162122	0.15440967552026524	0.0617638702081061	1.0036628908817242	0.15440967552026524	1.883798041347236	0.13896870796823874	0.03088193510405305	0.09264580531215914	0.4941109616648488	0.6948435398411936	23.130569392935733	0.6794025722891671	2.347027067908032	28.998137062705815	1.0191038584337506	25.431273558187687	2.0073257817634484	10.731472448658435	0.0	0.0	0.40146515635268964	0.0	0.015440967552026525	22.682781333926965	1.4360099823384669	0.33970128614458356	0.10808677286418568	27.345953534638976	4.786699941128223	52.12870645564155	1.4205690147864403	1.0808677286418567	0.1235277404162122	32.055448638007064	6.577852177163299	16.027724319003532
SRR24888486	0.0	0.11605497378210376	58.17670042877173	0.0	0.0	0.16579281968871967	0.0994756918132318	5.753010843198573	0.0	5.802748689105188	0.0	0.2486892295330795	2.95111219045921	1.8237210165759163	0.0	0.38132348528405524	0.0	0.0	0.0	0.016579281968871967	0.0	6.648292069517659	0.21553066559533557	0.0	1.6081903509805808	0.0	0.0	0.0	0.0497378459066159	10.511264768264827	1.6579281968871966	48.36176550319953	0.29842707543969543	0.06631712787548787	0.0497378459066159	1.1273911738832938	0.497378459066159	1.9729345542957641	0.13263425575097573	0.13263425575097573	0.6631712787548787	0.0	0.0	8.704123033657783	0.5305370230039029	1.591611069011709	14.556609568669588	2.354258039579819	15.352415103175442	1.0776533279766778	8.554909495937935	0.0	0.0	0.28184779347082345	0.0	0.03315856393774393	5.239053102163542	0.28184779347082345	0.21553066559533557	0.03315856393774393	10.643899024015802	1.6413489149183247	21.801755789066636	0.513957741035031	0.1989513836264636	0.0	11.80444876183684	1.525293941136221	7.112511964646074
SRR24888487	0.0	0.0	14.11445686937976	0.0	0.0	0.0	0.0	0.7583887273099572	0.1685308282911016	1.1235388552740107	0.07022117845462567	0.19661929967295186	0.44941554210960427	0.3651501279640535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1206795893296952	0.0421327070727754	0.0	0.35110589227312833	0.0	0.0	0.0	0.0	2.7948029024941015	0.0842654141455508	18.538391112021177	0.1685308282911016	0.0842654141455508	0.14044235690925133	0.4072828350368289	0.8707426128373583	0.3791943636549786	0.14044235690925133	0.0	0.2527962424366524	0.30897318520035294	0.028088471381850267	3.2301742089127807	0.5055924848733048	0.5336809562551551	4.3256245928049415	1.1094946195830855	4.2413591786593905	1.0673619125103102	0.3791943636549786	0.0	0.0	0.49154824918237966	0.0	0.11235388552740107	1.797662168438417	0.32301742089127805	0.0	0.5055924848733048	10.687663360794026	2.1347238250206204	8.496762593009706	0.3370616565822032	0.0	0.0	13.819527919870332	2.640316309893925	6.024977111406883
SRR24888488	0.0	0.0	41.25730805404199	0.0	0.0	0.05367386130187597	0.10734772260375194	2.003824155270036	0.0	1.502868116452527	0.1610215839056279	0.14313029680500258	1.1271510873393953	0.661977622723137	0.0	0.0	0.0	0.017891287100625323	0.035782574201250646	0.0	0.0	2.665801777993173	0.05367386130187597	0.0	0.28626059361000517	0.0	0.0	0.05367386130187597	0.0	5.27792969468447	0.28626059361000517	26.38964847342235	0.17891287100625322	0.05367386130187597	0.1610215839056279	0.10734772260375194	0.17891287100625322	0.12523900970437726	0.10734772260375194	0.0	0.2504780194087545	0.5725211872200103	0.14313029680500258	5.54629900119385	0.554629900119385	0.7693253453268889	6.888145533740749	1.4313029680500258	7.138623553149504	1.6817809874587804	0.8945643550312662	0.0	0.0	0.3399344549118811	0.035782574201250646	0.0	2.952062371603178	0.28626059361000517	0.05367386130187597	0.5904124743206357	14.813985719317767	2.9162797974019274	9.858099192444552	0.4293908904150078	0.1610215839056279	0.0	20.056132839800988	2.8089320747981756	9.267686718123917
SRR24888490	0.0	0.08072721225525191	183.57368066844282	0.0	0.0	0.16145442451050382	0.16145442451050382	3.8210880467485904	0.0	3.6058154807345852	0.0	0.48436327353151143	3.9556334005073435	2.8523614996855673	0.0	0.05381814150350127	0.026909070751750634	0.0	0.08072721225525191	0.0	0.026909070751750634	11.92071834302553	0.05381814150350127	0.0	0.6189086272902646	0.0	0.0	0.0	0.05381814150350127	17.598532271644917	0.4036360612762595	85.81302662733277	1.103271900821776	0.24218163676575571	0.16145442451050382	0.5112723442832621	0.18836349526225443	1.0763628300700254	0.13454535375875318	0.026909070751750634	0.48436327353151143	0.48436327353151143	0.13454535375875318	21.661801955159262	0.4036360612762595	0.7534539810490177	26.532343761226127	1.614544245105038	18.99780395073595	3.713451763741588	8.314902862290946	0.0	0.0	0.16145442451050382	0.05381814150350127	0.05381814150350127	17.81380483765892	0.48436327353151143	0.08072721225525191	0.4036360612762595	45.61087492421733	5.435632291853628	45.55705678271382	0.6458176980420153	0.7534539810490177	0.05381814150350127	19.159258375246452	4.251633178776601	11.651627635508024
SRR24888491	0.0	0.08206109683901476	183.7621495215004	0.0	0.0	0.16412219367802952	0.08206109683901476	3.8295178524873554	0.0	3.337151271453267	0.05470739789267651	0.4103054841950738	5.2792638966432825	2.8721383893655164	0.0	0.0	0.0	0.0	0.19147589262436776	0.027353698946338253	0.0	12.99300699951067	0.19147589262436776	0.0	0.6291350757657798	0.0	0.0	0.0	0.05470739789267651	17.971380207744232	0.43765918314141206	87.8874347145848	0.9300257641755006	0.19147589262436776	0.24618329051704427	0.7932572694438094	0.19147589262436776	1.1488553557462067	0.05470739789267651	0.0	0.3829517852487355	0.43765918314141206	0.16412219367802952	22.375325738104692	0.3829517852487355	0.5744276778731033	25.849245504289648	1.8874052272973394	21.93766655496328	3.5012734651312964	9.0814280501843	0.027353698946338253	0.0	0.10941479578535301	0.05470739789267651	0.16412219367802952	17.561074723549158	0.9300257641755006	0.08206109683901476	0.3829517852487355	46.337166015097	4.486006627199473	45.21566435829713	0.8479646673364858	0.8479646673364858	0.10941479578535301	20.542627908700027	4.103054841950738	12.883592203725318
SRR24888492	0.0	0.0	129.73041043662153	0.0	0.0	0.0	0.0	2.4038510003199445	0.0	1.9385895163870521	0.0	0.6203486452438567	6.513660775060496	2.946656064908319	0.0	0.0	0.0	0.0	0.31017432262192834	0.0	0.0	12.872234388810027	0.23263074196644626	0.0	1.0856101291767493	0.0	0.0	0.0	0.07754358065548209	30.707257939570905	0.6978922258993387	84.13478501119806	1.5508716131096418	0.15508716131096417	0.23263074196644626	1.3182408711431954	0.0	0.6203486452438567	0.6203486452438567	0.0	0.0	0.23263074196644626	0.07754358065548209	23.185530615989144	0.6203486452438567	1.0856101291767493	30.08690929432705	1.0856101291767493	20.85922319632468	3.72209187146314	8.064532388170138	0.0	0.07754358065548209	0.31017432262192834	0.0	0.15508716131096417	22.25500764812336	1.5508716131096418	0.4652614839328925	0.38771790327741046	38.5391595857746	2.791568903597355	52.34191694245041	1.1631537098322313	0.6203486452438567	0.15508716131096417	37.29846229528688	6.048399291127603	18.45537219600474
