	Acaulospora	Ambispora	Cetraspora	Dentiscutata	Diversispora	Entrophospora	Funneliformis	Geosiphon	Gigaspora	Glomus	Oehlia	Pacispora	Paraglomus	Racocetra	Rhizophagus	Scutellospora
SRR24887632	0.06832413080236172	0.11574994353232236	0.018189276840793515	0.02371290636498033	0.06156911890017148	0.12510844960514844	0.08609121939926834	0.07061098379008238	0.05221061282734542	0.05882489531490669	0.6280401951354063	3.518235365724084e-05	0.1600445267867886	0.0459129715226993	4.874339187442433	0.008478947231395043
SRR24887633	0.06941958358818005	0.10617695586869592	0.01905570872044714	0.02308481870986577	0.05498744370804937	0.1263885567992222	0.07592560545633964	0.059148655664334186	0.05151976707781202	0.05845512033828672	0.5694585536684056	0.0	0.1663824272679596	0.04445231185047114	4.768814952885834	0.009247137680632926
SRR24887634	0.0628340429464821	0.0992170919632431	0.016518938842681075	0.028106336444227716	0.07442144054802874	0.12070205834944418	0.08431900933268316	0.08266366681817648	0.0578680154029621	0.06614472797549541	0.6299957719793275	0.0	0.15211907982268522	0.04793596031592212	4.740556098523228	0.009932055087039978
SRR24887635	0.06610479630082458	0.09153678043322513	0.013557604056141336	0.011874380076259228	0.032195484124290484	0.10849143652149218	0.07797917637708379	0.047466916232675425	0.06270774426869886	0.05594424427680894	0.4915320061979368	0.0	0.17119918079019106	0.04575308818043182	4.630671584945122	0.006794104064251414
SRR24887636	0.05966059682771033	0.09151354229624678	0.015102431341620294	0.017619503231890342	0.04548708487416588	0.10343966863347868	0.06331634409691206	0.049442483558875955	0.04851356417080011	0.052888474837221866	0.5116547919804891	0.0	0.1333448799012109	0.037905904061804906	4.579033210666032	0.006712191707386798
SRR24887766	2.6938433669622315	0.11003626637091207	0.02018337366096559	0.027492302993341832	0.027492302993341832	0.1503694864940709	0.05317413725297579	0.0605165937841244	0.05317413725297579	0.05317413725297579	0.5684871823842733	0.0	0.14487102589540252	0.034834759524490444	4.962260108701884	0.010996921197336734
SRR24887773	0.061436977567406854	0.0934413565792653	0.014573422585756975	0.019494730866350285	0.05035609634207093	0.10782427690899932	0.07372437308088821	0.0552139038706566	0.046704803101630735	0.05803968733499727	0.5722687770929927	0.0	0.1362408634324252	0.03832270383662019	4.450100950320505	0.006381825576769393
SRR24887774	0.06281862988243207	0.09040196664351924	0.01593905534330366	0.02002211506122775	0.04978308367187443	0.10930502089316779	0.06405867024120902	0.052595858144222137	0.04355263699119027	0.05559010193736647	0.5033354061162421	0.0	0.13337995078552017	0.04185892333042175	4.501830420549102	0.006321181341082477
SRR24887777	0.06131882292233579	0.10143903603731597	0.01783120582888007	0.021423103405920664	0.05243529052197648	0.11051499152215959	0.06911195784395063	0.059490803619734786	0.04457801457220018	0.05596304707085563	0.5576420988355517	0.0	0.14560013392646678	0.04018435414314161	4.673475664412857	0.006382032302063192
SRR24888034	0.21758284924758142	0.10966093765557464	0.016503698328761855	0.020595524360686283	0.051625205102779854	0.11811737812155178	0.078563059812949	0.05916098471157401	0.04807895587511202	0.06280952959003995	0.6002708788833135	0.0	0.14873787626045293	0.04299827188547252	4.777752469076025	0.007262991206665858
SRR24888047	0.17305172937222799	0.08808197966010925	0.01294805101003606	0.019289953545563926	0.04797531825487284	0.10000240757411072	0.065562353527008	0.0495314332288681	0.04216190759730563	0.052203253278558084	0.47743369041767886	0.0	0.12827672304500576	0.0343226114075559	4.750907097587199	0.0070759190326954435
SRR24888113	2.5510581933400167	0.10935717155097707	0.020037593731855957	0.022313864379794796	0.05456637525059014	0.1179492917431969	0.07402688628296865	0.06658893148970371	0.04767344300683169	0.060850164644900166	0.5836229700715294	0.0	0.14340505082014673	0.041710255112231365	4.674337805617387	0.006412029994193906
SRR24888123	0.06048378793254293	0.08969604543109114	0.01665069259232456	0.020886911202385932	0.048157568504656016	0.10105146476083898	0.0704271343922703	0.05621815113768945	0.04377425897063418	0.05374702361515367	0.510376087958019	0.0	0.12923408579166396	0.03771411290346305	4.688876219457305	0.0071780370892706585
SRR24888217	0.0655725474836535	0.1038886418466067	0.017571086825709546	0.020843170033476684	0.0543493020810122	0.11046552909421868	0.07394908049553738	0.05428386041685686	0.045972769069128325	0.05670520199060454	0.5600497618414237	0.0	0.14534593608901636	0.041195527585788295	4.734409914150352	0.007951162194874151
SRR24888308	0.057969146552507685	0.08982633878482443	0.014682274664321555	0.01784367542020032	0.05049121784148675	0.10557254639583595	0.07173947869109498	0.05611486341684802	0.04623548605472689	0.05395659943927694	0.5429401817379861	0.0	0.13147171412668887	0.04082462706870362	4.632455244140694	0.007113151700727214
