	Amanita	Boletus	Cantharellus	Cenococcum	Clavulina	Cortinarius	Craterellus	Entoloma	Hebeloma	Hydnum	Hygrophorus	Hysterangium	Laccaria	Lactarius	Paxillus	Pisolithus	Ramaria	Russula	Scleroderma	Suillus	Thelephora	Tricholoma	Tuber
SRR24887632	0.050557042205455094	0.014811770889698393	0.031066018279343664	0.010554706097172252	0.028673618230651288	0.00010554706097172253	0.0	0.0	0.005277353048586126	0.020863135718743823	0.0	0.021074229840687266	0.02297407693817827	0.02040576512119969	0.009112229597225378	0.027794059389220267	0.016289429743302507	1.0394626388031807	0.007634570743621263	0.08426173700909183	0.017555994474963182	0.01256010025563498	0.19146236860270466
SRR24887633	0.05052900232631563	0.013078094719752282	0.028368897384513158	0.009148061205483289	0.025925010997488743	0.0	0.0	0.0	0.005977614000694857	0.01912175970388023	0.0	0.020112524455376615	0.022094053958369386	0.018362173394399668	0.008157296453986903	0.025033322721141997	0.01889058126186441	1.067549019737355	0.008982933746900557	0.08045009782150646	0.016314592907973807	0.010303953415562405	0.18543813598840675
SRR24887634	0.04134907656028102	0.006621370058026653	0.02479565141521439	0.013242740116053305	0.028106336444227716	0.0	0.0	0.0	0.004966027543519989	0.014898082630559969	0.0	0.016518938842681075	0.016518938842681075	0.021484966386201065	0.014898082630559969	0.028106336444227716	0.008276712572533316	0.9639956105834324	0.009932055087039978	0.09756174944873645	0.019829623871694402	0.011587397601546642	0.1637064774242319
SRR24887635	0.032195484124290484	0.01863788006814915	0.032195484124290484	0.006794104064251414	0.020351708120392747	0.0	0.0	0.0	0.011874380076259228	0.013557604056141336	0.0	0.020351708120392747	0.025431984132400567	0.013557604056141336	0.008477328044133522	0.030512260144408377	0.010160552024015628	0.9763005124039835	0.003397052032125707	0.08982295238098154	0.005080276012007814	0.01524082803602344	0.21695226897062284
SRR24887636	0.044288479212132525	0.012914976008409417	0.027747721076072207	0.00871985619129267	0.022593716729328774	5.993028310166783e-05	0.0	0.0	0.00428501524176925	0.014323337661298612	0.0	0.01752960780723784	0.019297551158737044	0.01639093242830615	0.006862017415140967	0.02250382130467627	0.015372117615577798	0.9276308869891654	0.007191633972200141	0.0729950848178314	0.013424383414773595	0.011566544638621891	0.23190023046190367
SRR24887766	0.07151351498146113	0.012840917129816977	0.0440212119881193	0.00915292526485649	0.0164953817960051	0.0	0.0	0.0	0.005498460598668367	0.031180294858302322	0.0	0.010996921197336734	0.02018337366096559	0.02018337366096559	0.010996921197336734	0.025681834259633954	0.010996921197336734	1.0269380983976346	0.012840917129816977	0.05317413725297579	0.00915292526485649	0.0164953817960051	0.1980451631483783
SRR24887773	0.04229150083709867	0.011176132353347395	0.02987710381960199	0.011080881225335914	0.024828794034993364	3.175037600382783e-05	0.0	3.175037600382783e-05	0.003333789480401922	0.018256466202201	0.0	0.019050225602296696	0.020320240642449812	0.019240727858319664	0.008286848136999063	0.025876556443119682	0.015303681233845014	0.9876589463510723	0.008540851145029685	0.08331298663404423	0.016224442137956017	0.010382372953251699	0.167260980788165
SRR24887774	0.0430989636891987	0.014154607022136837	0.026403786175909095	0.008952486492633555	0.02392370545835521	0.0	0.0	0.0	0.004627467680313966	0.018933299136447992	0.0	0.019205503117642932	0.01935672755164012	0.017965462758865985	0.010736934813800378	0.023560766816761954	0.015878565569704784	0.9485703846907642	0.006805099529873479	0.07140817773347237	0.015787830909306473	0.010948649021396441	0.19692445795113878
SRR24887777	0.04669466850152768	0.012571641519642067	0.03046698837668358	0.009813577308700186	0.024566013785831183	0.0	0.0	0.0	0.0041050258023321035	0.01658045577973201	0.0	0.018055699427445112	0.02107032775103275	0.016965301948700644	0.007761064407534133	0.024822577898476934	0.014848648019373155	1.0563706633048215	0.00936459011157011	0.07866897104000507	0.015169353160180352	0.01308476974493358	0.18536757138655904
SRR24888034	0.051625205102779854	0.013434828804818536	0.033893958964440675	0.011968591143378948	0.026460475006444627	0.0	0.0	0.0	0.005319373841501755	0.01974306060403536	0.0	0.019777159154301397	0.02158438231840135	0.01875420264632029	0.008695130317839408	0.02690375615990311	0.017390260635678816	1.000928844509247	0.007331188307197931	0.07443713523075852	0.015958121524505264	0.011457112889388395	0.183927580135003
SRR24888047	0.04192702231821201	0.012214034512868482	0.03112229947990527	0.009395411163744987	0.02155072435684006	5.872131977340616e-05	5.872131977340616e-05	0.0	0.004198574363798541	0.018996346946696895	0.0	0.017675117251795255	0.017675117251795255	0.015267543141085603	0.0066942304541683035	0.024897839583924216	0.015032657861991977	1.2037576946949398	0.0095128538032918	0.06976092789080654	0.0161777235975734	0.011920427914001452	0.21359880067576492
SRR24888113	0.0485070069060769	0.012086676539055513	0.02654580417596277	0.010002766790942494	0.027667909424946707	0.00019236089982581716	0.0	0.0	0.005289924745209972	0.01930021028252366	0.0	0.018081924583626816	0.021608541080433464	0.018787247882988144	0.008143278092626261	0.028116751524540278	0.016543037385020276	0.9924860626513037	0.007181473593497175	0.08406171322388212	0.014523247936849197	0.011830195339287758	0.18021010298681975
SRR24888123	0.044186113557723485	0.011296582960163658	0.024181747899100332	0.008707782698459487	0.023534547833674292	0.0	0.0	0.0	0.003765527653387886	0.01809218364713711	8.825455437627858e-05	0.01768032906004781	0.01718021991858223	0.018268692755889666	0.0071780370892706585	0.025181966182031487	0.015826983418145958	1.0073080654660516	0.007825237154696702	0.07548706217651029	0.014414910548125501	0.010943564742658545	0.21425263984081233
SRR24888217	0.049146689780662445	0.013808191136777335	0.029317865541593578	0.00811476635526251	0.023460836599690397	6.544166415534281e-05	0.0	0.0	0.0053989372928157815	0.017342041001165844	0.0	0.015280628580272546	0.021563028339185455	0.017178436840777488	0.008049324691107166	0.026209386494214792	0.015705999397282275	1.0550832303445146	0.007133141392932366	0.08262010099612029	0.014724374434952132	0.014168120289631717	0.18464365541429972
SRR24888308	0.046600263065020596	0.014287099569836712	0.027935839371659443	0.008389871236755175	0.02349771907975272	0.0	0.0	0.0	0.003678168187128175	0.01833004476725859	0.0	0.020397114492256244	0.016870936726083776	0.01757009266248004	0.006596384269477801	0.025899167730852934	0.015958994200349515	0.9357746237401133	0.008481065489328601	0.07660317216167768	0.016110984621305224	0.01191604900292764	0.2054302529637372
SRR24888309	0.048425453718990444	0.01206728543287948	0.029042767272396464	0.010785527135604715	0.022321351811077583	0.0	0.0	0.0	0.003220026941934161	0.018225977739297242	0.0	0.017850828969363165	0.017475680199429088	0.0180071409568357	0.007284138616219996	0.024415932443209516	0.016881694647033468	0.9598493902738305	0.009378719248351925	0.08784733695956304	0.015850035529714753	0.011942235842901452	0.17053637833253252
SRR24888310	0.046684426828184744	0.014396874854111168	0.027468514366002894	0.00867426769452723	0.022529000817730443	0.0	0.0	0.0	0.00424677689211229	0.018824365656526107	0.0	0.018824365656526107	0.01801115306016418	0.018824365656526107	0.008192363933720163	0.02511923353206844	0.017077464523600483	0.9794392748553159	0.008342958858972372	0.0743336551044903	0.0166557987328943	0.011354857364016549	0.20709814120683764
SRR24888329	0.0454048492256917	0.014189015383028657	0.028072890650293256	0.008635465276122816	0.024136583156936918	3.051401157640571e-05	0.0	0.0	0.003509111331286657	0.01791172479535015	0.0	0.02035284572146261	0.01745401462170407	0.01907125723525357	0.007353876789913776	0.026425134025167347	0.017576070668009692	0.9123384321229543	0.007811586963559862	0.0763765709757435	0.015592659915543317	0.010069623820213886	0.1938860295564819
SRR24888330	0.03920017695536631	0.021390557352362373	0.021390557352362373	0.005355561766739616	0.017809619603003934	0.0	0.0	0.0	0.0	0.0267144294045059	0.0	0.021390557352362373	0.017809619603003934	0.019584243620385106	0.0017746240173811747	0.03206999117124552	0.021390557352362373	0.8586011272665277	0.008904809801501967	0.07481941616137416	0.03206999117124552	0.012454057836264314	0.19593750534763937
SRR24888351	0.04478519527506237	0.014596656237798105	0.032212166379322636	0.00905656171117928	0.02063436404525096	0.0	0.0	0.0	0.00653532108828688	0.014596656237798105	0.0	0.022127203887753036	0.01910834998402661	0.018610736703192583	0.00905656171117928	0.026672071852703812	0.017615510141524533	1.0125435038410768	0.0075637218686772	0.08807755070762266	0.017615510141524533	0.01157780233407168	0.17462908735402094
SRR24888352	0.046496660430568104	0.012801091671938653	0.026698498499660463	0.010479483106750787	0.025086270329391116	3.224456340538704e-05	0.0	0.0	0.004127304115889541	0.0181536891972329	0.0	0.02034631950879922	0.01960469455047532	0.018121444633827515	0.007126048512590535	0.024828313822148017	0.016767172970801256	1.1065689269460723	0.00980234727523766	0.08751174508222041	0.016573705590368935	0.012510890601290169	0.18179484847957209
SRR24888478	0.051715249113795964	0.014633974517030808	0.04021941355227723	0.014633974517030808	0.025585439035246425	0.0	0.0	0.0	0.0026257897382856157	0.019853532167525386	0.0	0.01722774242923977	0.01828446268976935	0.01722774242923977	0.0026257897382856157	0.030804996685741	0.019341182950298928	1.1188105812922087	0.005731906867721038	0.07521926945405989	0.021422601645281425	0.01306490503927477	0.17653632716059267
SRR24888482	0.045373379874425135	0.01336093597092756	0.027230005972069368	0.00905674183264217	0.02382251894592677	0.00014945118535713154	0.0	0.0	0.0034672675002854515	0.01909986148864141	0.0	0.017724910583355798	0.016559191337570174	0.014945118535713155	0.007532339741999429	0.02445021392442672	0.01811348366528434	1.0037440510955669	0.0079508030609994	0.08043462795920818	0.015393472091784549	0.011029497479356309	0.18672431098520015
SRR24888489	0.04598918161953414	0.01208599097465857	0.025108220686790694	0.008738228216419812	0.020795848320245853	2.837087083253186e-05	2.837087083253186e-05	0.0	0.003603100595731546	0.01756156904533722	0.0	0.019207079553624065	0.01591605853705037	0.01591605853705037	0.007461539028955878	0.02456917414097259	0.014015210191270739	1.221139022373836	0.008482890378927025	0.07875753743110843	0.01438403151209365	0.011632057041338061	0.20943376848575018
SRR24888613	0.05490203832699864	0.007322331504501225	0.02196699451350368	0.01464466300900245	0.02196699451350368	0.0	0.0	0.0	0.001822858897745031	0.01096804929999129	0.0	0.02378985341124871	0.018290380804492513	0.01282180411125742	0.01464466300900245	0.01464466300900245	0.020113239702237544	0.9021297789026637	0.007322331504501225	0.0933365547472498	0.01282180411125742	0.005499472606756195	0.17199755057197605
SRR24888614	0.04299710050966196	0.012803455976371855	0.026535514254326723	0.008244862859509788	0.02377784681326202	0.0	0.0	0.0	0.00593742683739442	0.017390188556918252	0.0	0.016011354836385903	0.020119716534298632	0.016939957137968916	0.006866029138977434	0.015561123417436564	0.01052415941794082	1.0755465809426044	0.01052415941794082	0.06404541934554361	0.015110891998487225	0.014182289696904209	0.20266041745457164
SRR24888615	0.04251429602367436	0.012111145232677374	0.024472865883961865	0.008046255108606347	0.021243227155247898	2.7841713178568674e-05	0.0	0.0	0.0033131638682496727	0.017763013007926817	0.0	0.017456754162962558	0.01550783424046275	0.017289703883891148	0.006682011162856482	0.022690996240533466	0.015118050255962788	0.9741258606917608	0.007990571682249209	0.07049521776813587	0.01556351766681989	0.010412800728784683	0.20162968683919433
SRR24888635	0.04688334228341398	0.013045530139667735	0.0313588515471348	0.008087608946444844	0.02302334654102881	0.0	0.0	0.0	0.0035944928650865978	0.017662594250856554	0.0	0.0179104903105177	0.019180957616281066	0.01939786666848457	0.006352336528816832	0.02708264451798005	0.01676397103458491	0.9262946139313246	0.00811859595390249	0.07954364814376978	0.015462516721363897	0.011651114804073798	0.1903841738197591
SRR24888648	0.04709166386286712	0.012685545110345989	0.029569184285986334	0.008974186588853877	0.02339372707399536	6.0841942975280525e-05	0.0	0.0	0.003620095607029191	0.016944481118615625	0.0	0.017461637633905507	0.018161319978121235	0.01861763455043584	0.007666084814885345	0.024032567475235807	0.0163969036318381	0.8462810058146645	0.0073618751000089425	0.07301033157033662	0.01645774557481338	0.010738602935137013	0.17221311959153152
